playerName,team_name,label,date,318.0
A. Abeid,CFR Cluj,CFR Cluj vs Botoșani,2024-08-25,0.00478976
A. Abeid,CFR Cluj,CFR Cluj vs Unirea Slobozia,2024-08-11,0.132241
A. Abeid,CFR Cluj,FCV Farul Constanţa vs CFR Cluj,2024-09-01,0.0036893700000000004
A. Aganović,Unirea Slobozia,CFR Cluj vs Unirea Slobozia,2024-08-11,0.03616282
A. Aganović,Unirea Slobozia,Hermannstadt vs Unirea Slobozia,2024-07-26,0.10772162
A. Aganović,Unirea Slobozia,Sepsi vs Unirea Slobozia,2024-08-24,0.02812021
A. Aganović,Unirea Slobozia,Unirea Slobozia vs AS FC Buzău,2024-09-02,0.055664490000000004
A. Aganović,Unirea Slobozia,Unirea Slobozia vs FCSB,2024-07-19,0.11106882
A. Aganović,Unirea Slobozia,Unirea Slobozia vs Petrolul 52,2024-08-16,0.00420596
A. Aganović,Unirea Slobozia,Unirea Slobozia vs UTA Arad,2024-08-05,0.06153936
A. Ajeti,CFR Cluj,CFR Cluj vs Universitatea Craiova,2024-07-28,0.01319648
A. Artean,CFR Cluj,CFR Cluj vs Botoșani,2024-08-25,2.775e-05
A. Artean,CFR Cluj,CFR Cluj vs Dinamo Bucureşti,2024-07-14,0.058750670000000005
A. Artean,CFR Cluj,CFR Cluj vs Unirea Slobozia,2024-08-11,0.00745185
A. Artean,CFR Cluj,CFR Cluj vs Universitatea Cluj,2024-08-04,0.23596239
A. Artean,CFR Cluj,CFR Cluj vs Universitatea Craiova,2024-07-28,0.13682531
A. Artean,CFR Cluj,FCV Farul Constanţa vs CFR Cluj,2024-09-01,0.0
A. Artean,CFR Cluj,Rapid Bucureşti vs CFR Cluj,2024-07-20,0.26586942
A. Bani,Dinamo Bucureşti,CFR Cluj vs Dinamo Bucureşti,2024-07-14,0.04921391000000001
A. Bani,Dinamo Bucureşti,Dinamo Bucureşti vs AS FC Buzău,2024-08-02,0.17622665
A. Bani,Dinamo Bucureşti,Politehnica Iași vs Dinamo Bucureşti,2024-08-12,0.16677025999999998
