player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
L. Carević,6eidlv9qagadx0luxb2uclfbp,Vojvodina,5dogxolrtabaz69epd35liubg,NaN,NaN,Goalkeeper,Centre,NaN,8,NaN,1,NaN,12,2,NaN,6,9,13,90,15,1,9,9,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,4,SRB,Super_Liga
S. Bukinac,6qb4ce3qzlcvjdaluqom2vhuc,Vojvodina,5dogxolrtabaz69epd35liubg,7,2,Defender,Left,NaN,4,1,3,4,2,1,NaN,2,6,4,52,3,NaN,2,6,1,1,NaN,1,NaN,1,1,4,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,9,SRB,Super_Liga
Đ. Crnomarković,ackvb5pp7jiziocny2goze21h,Vojvodina,5dogxolrtabaz69epd35liubg,5,2,Defender,Left/Centre,NaN,31,NaN,6,2,22,2,NaN,10,40,22,71,20,9,3,20,3,9,NaN,3,NaN,1,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,11,SRB,Super_Liga
I. Jeličić,6cu5njaghdntn0z9b1i6yb71m,Vojvodina,5dogxolrtabaz69epd35liubg,3,2,Defender,Centre/Right,NaN,58,NaN,7,NaN,43,2,NaN,16,65,48,90,21,11,2,20,8,12,NaN,3,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,9,SRB,Super_Liga
M. Lazarević,93x2kcnzirrxdvr7w8n1c746h,Vojvodina,5dogxolrtabaz69epd35liubg,2,1,Defender,Right,NaN,36,2,8,2,21,5,2,17,43,21,90,21,7,8,26,6,10,NaN,NaN,NaN,3,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,9,SRB,Super_Liga
D. Zukić,7me9tyjhn1la4cojdkz6a8s4q,Vojvodina,5dogxolrtabaz69epd35liubg,1,NaN,Defensive Midfielder,Left/Centre,NaN,37,1,2,NaN,14,1,1,23,47,15,90,20,11,6,32,9,16,NaN,NaN,NaN,4,1,NaN,1,NaN,3,NaN,NaN,1,NaN,,NaN,1,1,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,12,SRB,Super_Liga
R. Milosavljević,yxriuh8decr39mzegj2tiitx,Vojvodina,5dogxolrtabaz69epd35liubg,1,1,Defensive Midfielder,Centre/Right,NaN,41,2,5,1,16,NaN,2,25,52,19,90,21,10,6,33,11,18,1,NaN,1,6,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,14,SRB,Super_Liga
N. Čumić,dfnzcdcgl25zxg2glfzh3mfvt,Vojvodina,5dogxolrtabaz69epd35liubg,8,NaN,Attacking Midfielder,Left,NaN,7,5,5,8,1,NaN,NaN,7,14,1,78,3,2,2,19,6,12,NaN,NaN,NaN,2,1,4,1,2,4,1,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,22,SRB,Super_Liga
U. Nikolić,2jcqhmyzt2fbjln45itsqa8r9,Vojvodina,5dogxolrtabaz69epd35liubg,5,1,Attacking Midfielder,Centre,NaN,14,2,1,6,3,NaN,NaN,13,18,4,79,5,2,NaN,18,4,7,NaN,NaN,1,NaN,NaN,2,NaN,1,2,NaN,NaN,NaN,1,,NaN,2,2,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,9,SRB,Super_Liga
F. Malbašić,7lvm9okt5sbkqmv625agkqyfp,Vojvodina,5dogxolrtabaz69epd35liubg,3,1,Attacking Midfielder,Right,NaN,16,3,4,2,6,3,1,10,24,8,90,8,4,4,17,8,12,3,1,3,1,NaN,1,NaN,NaN,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,15,SRB,Super_Liga
S. Vukić,3fj8m31zowv39ou69ojqq2dw5,Vojvodina,5dogxolrtabaz69epd35liubg,6,2,Striker,Centre,NaN,6,NaN,5,NaN,NaN,NaN,NaN,6,9,NaN,45,3,3,3,9,2,4,NaN,1,NaN,2,NaN,NaN,NaN,1,2,1,NaN,1,NaN,,NaN,1,1,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,8,SRB,Super_Liga
F. Antonijević,a1nh7uovqmt2ynctjdo3lxa3u,Vojvodina,5dogxolrtabaz69epd35liubg,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,NaN,SRB,Super_Liga
Y. Baraye,6sr7cpr9rdzrekqwnimi4i7yt,Vojvodina,5dogxolrtabaz69epd35liubg,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,NaN,SRB,Super_Liga
M. Bjeković,c99c4aealrjt3hhb8tm78wwve,Vojvodina,5dogxolrtabaz69epd35liubg,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,NaN,SRB,Super_Liga
J. Bolingi,7bmfyotb0mbfviulw0ucmeqqd,Vojvodina,5dogxolrtabaz69epd35liubg,5,2,Substitute,NaN,Attacker,10,NaN,3,NaN,4,NaN,NaN,8,12,4,45,5,3,2,10,8,8,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,4,SRB,Super_Liga
M. Ivanović,76k7qx85padwz2kf9l3ydisk4,Vojvodina,5dogxolrtabaz69epd35liubg,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,4231,NaN,Vojvodina vs Partizan,b285juuqan802v38mvb5r4ff8,2023-08-06,NaN,SRB,Super_Liga
