id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName
16y1xq863thdd4bxyoe7u2221,Jean-Philippe Nil Stephan,Krasso,Jean-Philippe,Krasso,J. Krasso,Côte d'Ivoire,tin6kf561ywonqan0mettr98,France,7gww28djs405rfga69smki84o,Attacker,player,1997-07-17,Stuttgart,Germany,36min0qztu8eydwvpv8t1is0m,187.0,80.0,left,17.0,active,yes,NaN
1fs2iimaa97nzlw80yypcd6ju,Stefan,Mitrović,Stefan,Mitrovic,S. Mitrović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Canada,1iaoypzp6syf32cz9l15pzp7e,Attacker,player,2002-08-15,Kruševac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,181.0,NaN,right,80.0,active,no,NaN
1ghyb2ozmwm2o9bxzuxzw7yfo,Andrija,Maksimović,Andrija,Maksimovic,A. Maksimović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Midfielder,player,2007-06-05,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,55.0,active,yes,NaN
1gr34ae328ctz0rwawmii1w16,Edmund,Addo,Edmund,Addo,E. Addo,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,2000-05-17,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,178.0,71.0,right,NaN,active,no,NaN
2d1s76x7u3ovp3zn947bi2hd6,Kings,Kangwa,Kings,Kangwa,K. Kangwa,Zambia,2dlu3zrfid7nl6ppmb04hjgot,NaN,NaN,Midfielder,player,1999-04-06,Kasama,Zambia,2dlu3zrfid7nl6ppmb04hjgot,165.0,64.0,right,20.0,active,no,NaN
2s4xvo3bl8qj47taessa5nb2t,Srđan,Mijailović,Srdjan,Mijailovic,S. Mijailović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Midfielder,player,1993-11-10,Uzice,Serbia,5w4ve503bjdsshwx9ho6jxzx0,178.0,78.0,right,33.0,active,yes,NaN
2v3bbqm0o4jx6r3zrmlzh1cyd,Mirko,Ivanić,Mirko,Ivanic,M. Ivanić,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,Midfielder,player,1993-09-13,Bački Jarak,Serbia,5w4ve503bjdsshwx9ho6jxzx0,182.0,70.0,both,4.0,active,yes,NaN
38aqhfpddgjs5hdh19redrnro,Jovan,Mijatović,Jovan,Mijatovic,J. Mijatović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Attacker,player,2005-07-11,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,179.0,NaN,NaN,22.0,active,no,NaN
3c966es9z5t8dcp8lsrzstkpg,Nemanja,Milinčić,NaN,NaN,N. Milinčić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,assistant coach,1988-02-19,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,NaN,active,yes,NaN
3oub3l3mryzafp6wobgjbgxjp,Aleksandar,Katai,Aleksandar,Katai,A. Katai,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Midfielder,player,1991-02-06,Vrbas,Serbia,5w4ve503bjdsshwx9ho6jxzx0,182.0,70.0,right,10.0,active,yes,NaN
