player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll
M. Ilić,2unnytu55d7lvws7h3r86yhud,81lpho34qr3dad0xzalq0abja,NaN,NaN,Goalkeeper,Centre,NaN,16,NaN,NaN,NaN,19,1,NaN,4,17,20,90,12,1,5,5,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,2
M. Rodić,cj3fd7djmm3m1lvxoyzq0onh1,81lpho34qr3dad0xzalq0abja,7,4,Defender,Left,NaN,51,NaN,6,3,20,2,NaN,31,58,21,90,29,8,3,38,20,23,NaN,1,NaN,1,3,1,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,9
N. Stojić,eogax9mw7l5c23s3j2mcojjoq,81lpho34qr3dad0xzalq0abja,3,1,Defender,Left/Centre,NaN,51,1,5,NaN,47,6,1,4,55,49,90,11,1,9,6,1,1,NaN,3,NaN,3,1,NaN,1,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,5
N. Djiga,ecowfx5iwg3lw9pn3x7tn1gr8,81lpho34qr3dad0xzalq0abja,1,NaN,Defender,Centre/Right,NaN,49,NaN,1,NaN,40,NaN,NaN,9,52,42,90,20,2,6,10,2,2,NaN,1,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,4
O. Mimović,cu13lfpqojvl94w4w0546pgk4,81lpho34qr3dad0xzalq0abja,4,1,Defender,Right,NaN,54,2,5,5,27,3,2,28,60,27,90,24,8,6,39,12,16,1,NaN,2,3,1,6,1,NaN,3,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,16
Dálcio,9wabmo0s1815sxu5fdc7xpx49,81lpho34qr3dad0xzalq0abja,1,NaN,Defensive Midfielder,Left/Centre,NaN,50,NaN,4,2,19,NaN,NaN,31,55,20,90,17,10,2,35,11,14,3,1,3,2,3,NaN,3,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,1,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,7
Hwang In-Beom,43ib46nh45n9oajf5rmaz4f6x,81lpho34qr3dad0xzalq0abja,1,NaN,Defensive Midfielder,Centre/Right,NaN,66,NaN,4,13,19,1,NaN,52,68,20,80,30,15,3,61,34,35,6,NaN,9,2,1,4,1,1,2,1,1,NaN,NaN,1,1,1,1,1,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,10
L. Ilić,65je30iyno0ea0yylc355o3jd,81lpho34qr3dad0xzalq0abja,3,NaN,Attacking Midfielder,Left,NaN,30,1,2,2,12,1,1,20,30,12,45,6,2,4,20,10,10,1,NaN,3,3,NaN,NaN,NaN,4,8,4,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,1
A. Katai,3oub3l3mryzafp6wobgjbgxjp,81lpho34qr3dad0xzalq0abja,4,3,Attacking Midfielder,Centre,NaN,20,4,8,2,2,NaN,3,22,27,2,68,7,4,4,30,15,22,NaN,2,NaN,2,1,1,1,3,12,4,NaN,2,NaN,NaN,NaN,1,1,1,1,4231,1,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,9
J. Rodríguez,eika2197gwlmjq70xdvisoe09,81lpho34qr3dad0xzalq0abja,NaN,NaN,Attacking Midfielder,Right,NaN,22,NaN,2,4,4,NaN,NaN,19,27,4,68,2,3,NaN,26,12,17,1,NaN,1,NaN,1,3,1,5,2,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,4231,NaN,Crvena zvezda vs Jedinstvo Ub,f24t0j39eqve04p3voum1cw0k,2024-07-20,7
