playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Adeshina,Novi Pazar,Novi Pazar vs Čukarički,0.1382932,-0.015053
A. Batisse,IMT Novi Beograd,IMT Novi Beograd vs Radnički Kragujevac,0.2161327,0.1048489
A. Batisse,IMT Novi Beograd,IMT Novi Beograd vs Radnički Niš,0.0,0.0
A. Batisse,IMT Novi Beograd,Spartak Subotica vs IMT Novi Beograd,0.3239182,0.0902762
A. Cvetković,OFK Beograd,OFK Beograd vs Partizan,0.0903428,0.0191955
A. Filipović,Partizan,OFK Beograd vs Partizan,0.4416637,0.06343160000000002
A. Golijanin,Radnički Kragujevac,IMT Novi Beograd vs Radnički Kragujevac,0.0040954,0.0031585
A. Golijanin,Radnički Kragujevac,Mladost Lučani vs Radnički Kragujevac,0.1434856,-0.0377247
A. Janković,Radnički Kragujevac,IMT Novi Beograd vs Radnički Kragujevac,0.005425200000000001,-0.0070223
A. Janković,Radnički Kragujevac,Mladost Lučani vs Radnički Kragujevac,0.2398843,0.1104164
A. Jovanović,Partizan,OFK Beograd vs Partizan,0.0302893,0.000837499999999999
A. Kalulu,Partizan,OFK Beograd vs Partizan,0.2841166,-0.12076399999999998
A. Kovačević,Novi Pazar,Novi Pazar vs Čukarički,0.04753160000000001,0.0101786
A. Ljajić,Novi Pazar,Novi Pazar vs Čukarički,0.9498941000000001,0.2878989
A. Lokosa,Železničar Pančevo,Vojvodina vs Železničar Pančevo,0.062357,-0.0146152
A. Lutovac,IMT Novi Beograd,IMT Novi Beograd vs Radnički Kragujevac,0.3813108,0.1331452
A. Lutovac,IMT Novi Beograd,IMT Novi Beograd vs Radnički Niš,0.008744,-0.0043835
A. Lutovac,IMT Novi Beograd,Spartak Subotica vs IMT Novi Beograd,0.3654148,0.07478080000000001
A. Maksimović,Crvena zvezda,Crvena zvezda vs Napredak,0.0407474,0.0056543
A. Mesarović,Novi Pazar,Novi Pazar vs Čukarički,0.6496611,-0.036481200000000005
A. Paločević,OFK Beograd,OFK Beograd vs Partizan,0.5904659,0.2718832
A. Pejović,Mladost Lučani,Mladost Lučani vs Radnički Kragujevac,0.5235114,0.13709680000000002
A. Radulović,Vojvodina,Vojvodina vs Železničar Pančevo,0.16196139999999998,-0.0162172
A. Stevanović,IMT Novi Beograd,IMT Novi Beograd vs Radnički Kragujevac,0.230032,0.0231037
A. Stevanović,IMT Novi Beograd,IMT Novi Beograd vs Radnički Niš,0.0,0.0
A. Stevanović,IMT Novi Beograd,Spartak Subotica vs IMT Novi Beograd,0.2872279,0.06211879999999999
A. Stojanović,Radnički Niš,IMT Novi Beograd vs Radnički Niš,0.0,0.0
A. Stojanović,Radnički Niš,Jedinstvo Ub vs Radnički Niš,0.4376274,0.2160408
