id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,startDate,endDate,status,active,shirtNumber,placeOfBirth,height,weight,foot,secondNationality,secondNationalityId,knownName
13vbotdyjvth1utolkv4zo8wk,Uroš,Tegeltija,Uros,Tegeltija,Male,U. Tegeltija,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2006-03-19,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-03-25Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1d92l1kk09si3k7d012qlq1as,Aleksa,Vasilić,Aleksa,Vasilic,Male,A. Vasilić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2007-11-07,Senegal,6hhqyhr5cwq2pfprlazyposyk,2025-03-25Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1ghyb2ozmwm2o9bxzuxzw7yfo,Andrija,Maksimović,Andrija,Maksimovic,Male,A. Maksimović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2007-06-05,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-09-01Z,2025-07-16Z,active,no,55.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1tztnrv51q99ewl193qk526z9,Nemanja,Radonjić,Nemanja,Radonjic,Male,N. Radonjić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1996-02-15,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-09-03Z,NaN,active,yes,49.0,Niš,185.0,78.0,both,NaN,NaN,NaN
2s4xvo3bl8qj47taessa5nb2t,Srđan,Mijailović,Srdjan,Mijailovic,Male,S. Mijailović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1993-11-10,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2022-09-15Z,2024-08-06Z,active,no,33.0,Požega,178.0,78.0,right,NaN,NaN,NaN
2unnytu55d7lvws7h3r86yhud,Marko,Ilić,Marko,Ilic,Male,M. Ilić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,1998-02-03,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-16Z,2025-01-24Z,active,no,1.0,Novi Sad,191.0,81.0,right,NaN,NaN,NaN
2v3bbqm0o4jx6r3zrmlzh1cyd,Mirko,Ivanić,Mirko,Ivanic,Male,M. Ivanić,Montenegro,1411jebgwo2ja1erogsq81lg9,Midfielder,player,1993-09-13,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2019-02-11Z,NaN,active,yes,4.0,Bački Jarak,182.0,70.0,both,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
36j5r7fi17y9qthz8ip779l3o,Adem,Avdić,Adem,Avdic,Male,A. Avdić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2007-09-24,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-01Z,2025-01-31Z,active,no,NaN,Loznica,NaN,NaN,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
3oub3l3mryzafp6wobgjbgxjp,Aleksandar,Katai,Aleksandar,Katai,Male,A. Katai,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1991-02-06,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2020-07-15Z,NaN,active,yes,10.0,Vrbas,182.0,70.0,right,NaN,NaN,NaN
3v1fnp5e9pxfzgou5ebrgprrp,Rade,Krunić,Rade,Krunic,Male,R. Krunić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,1993-10-07,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2024-09-03Z,NaN,active,yes,6.0,Foča,184.0,74.0,both,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
