playerName,team_name,label,date,318.0
A. Adeshina,Novi Pazar,Novi Pazar vs OFK Beograd,2024-08-03,0.01506795
A. Adeshina,Novi Pazar,Novi Pazar vs Spartak Subotica,2024-07-21,0.01932439
A. Batisse,IMT Novi Beograd,Napredak vs IMT Novi Beograd,2024-08-02,0.0065810700000000005
A. Batisse,IMT Novi Beograd,TSC vs IMT Novi Beograd,2024-07-21,0.03637733
A. Cvetković,OFK Beograd,Mladost Lučani vs OFK Beograd,2024-07-20,0.07224965
A. Cvetković,OFK Beograd,Novi Pazar vs OFK Beograd,2024-08-03,0.37956706
A. Cvetković,OFK Beograd,OFK Beograd vs Tekstilac Odžaci,2024-07-29,0.02323234
A. Jovanović,Partizan,Jedinstvo Ub vs Partizan,2024-07-27,0.00050283
A. Jovanović,Partizan,Napredak vs Partizan,2024-07-19,0.00092199
A. Jovanović,Partizan,Partizan vs Železničar Pančevo,2024-08-04,0.00033158
A. Kahvić,OFK Beograd,Mladost Lučani vs OFK Beograd,2024-07-20,0.10310616
A. Kahvić,OFK Beograd,Novi Pazar vs OFK Beograd,2024-08-03,0.02251047
A. Kahvić,OFK Beograd,OFK Beograd vs Tekstilac Odžaci,2024-07-29,0.00369251
A. Kalulu,Partizan,Jedinstvo Ub vs Partizan,2024-07-27,0.14198744
A. Kalulu,Partizan,Napredak vs Partizan,2024-07-19,0.09409362
A. Katai,Crvena zvezda,Crvena zvezda vs Jedinstvo Ub,2024-07-20,0.02738296
A. Katai,Crvena zvezda,Crvena zvezda vs Mladost Lučani,2024-07-27,0.48177255999999996
A. Kovačević,Novi Pazar,Novi Pazar vs OFK Beograd,2024-08-03,0.010546
A. Ljajić,Novi Pazar,Novi Pazar vs OFK Beograd,2024-08-03,0.60311862
A. Ljajić,Novi Pazar,Novi Pazar vs Spartak Subotica,2024-07-21,0.13454036
A. Lokosa,Železničar Pančevo,Partizan vs Železničar Pančevo,2024-08-04,0.00175957
A. Lokosa,Železničar Pančevo,Železničar Pančevo vs Napredak,2024-07-27,0.0034421100000000004
A. Lutovac,IMT Novi Beograd,Napredak vs IMT Novi Beograd,2024-08-02,0.04411073
A. Lutovac,IMT Novi Beograd,TSC vs IMT Novi Beograd,2024-07-21,0.22130542
A. Mesarović,Novi Pazar,Novi Pazar vs Spartak Subotica,2024-07-21,0.03121687
A. Paločević,OFK Beograd,Novi Pazar vs OFK Beograd,2024-08-03,0.10288683000000001
A. Paločević,OFK Beograd,OFK Beograd vs Tekstilac Odžaci,2024-07-29,0.32262098
A. Pejić,TSC,TSC vs Spartak Subotica,2024-08-04,0.02678657
A. Pejović,Mladost Lučani,Crvena zvezda vs Mladost Lučani,2024-07-27,0.0072549599999999995
A. Pejović,Mladost Lučani,Mladost Lučani vs Jedinstvo Ub,2024-08-03,0.04482487
A. Pejović,Mladost Lučani,Mladost Lučani vs OFK Beograd,2024-07-20,0.26131456999999997
A. Radulović,Vojvodina,Tekstilac Odžaci vs Vojvodina,2024-07-21,0.02217201
A. Radulović,Vojvodina,Čukarički vs Vojvodina,2024-08-04,0.08078736
A. Saidov,Jedinstvo Ub,Crvena zvezda vs Jedinstvo Ub,2024-07-20,0.0052470600000000004
A. Saidov,Jedinstvo Ub,Jedinstvo Ub vs Partizan,2024-07-27,0.00786998
A. Saidov,Jedinstvo Ub,Mladost Lučani vs Jedinstvo Ub,2024-08-03,0.00356663
A. Stevanović,IMT Novi Beograd,Napredak vs IMT Novi Beograd,2024-08-02,0.00062359
A. Stevanović,IMT Novi Beograd,TSC vs IMT Novi Beograd,2024-07-21,0.08526165
A. Stevanović,Tekstilac Odžaci,Tekstilac Odžaci vs Vojvodina,2024-07-21,0.04060092999999999
A. Stojanović,Radnički Niš,Radnički Niš vs TSC,2024-07-28,0.01391563
A. Stojanović,Radnički Niš,Čukarički vs Radnički Niš,2024-07-20,0.01062255
A. Subotić,Čukarički,Čukarički vs Radnički Niš,2024-07-20,0.0
A. Todoroski,Spartak Subotica,Novi Pazar vs Spartak Subotica,2024-07-21,0.03746584
A. Todoroski,Spartak Subotica,Spartak Subotica vs Čukarički,2024-07-28,0.09802044
A. Todoroski,Spartak Subotica,TSC vs Spartak Subotica,2024-08-04,0.29497593
A. Varjačić,Mladost Lučani,Crvena zvezda vs Mladost Lučani,2024-07-27,0.00027958999999999997
A. Varjačić,Mladost Lučani,Mladost Lučani vs OFK Beograd,2024-07-20,0.0061785699999999995
A. Vojnović,Radnički Niš,Radnički Niš vs TSC,2024-07-28,0.01547068
A. Vojnović,Radnički Niš,Čukarički vs Radnički Niš,2024-07-20,0.03695634
A. Vukanović,Vojvodina,Tekstilac Odžaci vs Vojvodina,2024-07-21,0.19869323
A. Vukičević,OFK Beograd,Novi Pazar vs OFK Beograd,2024-08-03,0.00625221
A. Vukičević,OFK Beograd,OFK Beograd vs Tekstilac Odžaci,2024-07-29,0.0014762
A. Vulić,Spartak Subotica,Novi Pazar vs Spartak Subotica,2024-07-21,0.0001087
A. Vulić,Spartak Subotica,Spartak Subotica vs Čukarički,2024-07-28,0.00036008
A. Vulić,Spartak Subotica,TSC vs Spartak Subotica,2024-08-04,0.060657550000000005
A. Yusif,Železničar Pančevo,Partizan vs Železničar Pančevo,2024-08-04,0.01740296
A. Yusif,Železničar Pančevo,Železničar Pančevo vs Napredak,2024-07-27,0.07928439
A. Ćirković,TSC,Radnički Niš vs TSC,2024-07-28,0.16724799
A. Ćirković,TSC,TSC vs IMT Novi Beograd,2024-07-21,0.07813546
A. Đermanović,OFK Beograd,Mladost Lučani vs OFK Beograd,2024-07-20,0.01357136
A. Đermanović,OFK Beograd,Novi Pazar vs OFK Beograd,2024-08-03,0.00721008
A. Đermanović,OFK Beograd,OFK Beograd vs Tekstilac Odžaci,2024-07-29,0.0012151899999999999
A. Šćekić,Partizan,Jedinstvo Ub vs Partizan,2024-07-27,0.00755444
A. Šćekić,Partizan,Napredak vs Partizan,2024-07-19,0.0178949
B. Blagojević,Železničar Pančevo,Partizan vs Železničar Pančevo,2024-08-04,0.009387389999999999
B. Brać,Tekstilac Odžaci,OFK Beograd vs Tekstilac Odžaci,2024-07-29,0.00023796
