player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
M. Junas,1xq8r9g0n0zp1augg3wrihlg5,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Goalkeeper,Centre,NaN,9,NaN,NaN,NaN,9,1,NaN,2,11,13,90,12,1,4,3,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,5,SVK,1_liga
M. Černek,as9w12k4pcyxfkpuvtld9skph,8z6b1xgghbcalbv9dg1jcmb5k,8,1,Defender,Left,NaN,28,4,9,7,10,2,1,19,38,14,90,16,10,4,30,11,17,NaN,4,NaN,2,2,5,2,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,22,SVK,1_liga
M. Hrádecký,eic5aqr8l99rhm9udams7dlg5,8z6b1xgghbcalbv9dg1jcmb5k,4,2,Defender,Left/Centre,NaN,48,NaN,8,NaN,26,NaN,NaN,28,58,26,90,35,10,1,38,8,11,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,10,SVK,1_liga
M. Ranko,9n6cczdnnmgfvhgxk6wqfob11,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Defender,Centre/Right,NaN,37,NaN,1,NaN,21,2,NaN,19,43,26,90,18,3,4,20,5,5,NaN,NaN,NaN,2,2,NaN,2,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,8,SVK,1_liga
M. Nagy,1c2chlc4b6b98wmjqmfwul711,8z6b1xgghbcalbv9dg1jcmb5k,2,1,Defender,Right,NaN,41,1,4,4,17,4,1,33,51,20,90,31,20,6,42,24,29,NaN,NaN,NaN,2,3,3,3,3,NaN,NaN,,NaN,1,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,15,SVK,1_liga
A. Kopas,elzmfhikf7pi2pofuu2zd933d,8z6b1xgghbcalbv9dg1jcmb5k,2,NaN,Defensive Midfielder,Centre,NaN,28,NaN,2,2,11,4,NaN,19,33,12,74,14,9,10,23,12,13,1,NaN,1,6,1,NaN,1,2,NaN,NaN,,NaN,NaN,NaN,,3,3,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,6,SVK,1_liga
R. Matějov,j71l4z2mfwicz99tib9b71zp,8z6b1xgghbcalbv9dg1jcmb5k,3,1,Midfielder,Left,NaN,18,NaN,1,5,7,4,NaN,12,26,8,59,8,2,5,20,8,15,2,NaN,2,1,NaN,1,NaN,NaN,1,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,11,SVK,1_liga
Davi Alves,33bi7y8jn984bxktox4xmmw44,8z6b1xgghbcalbv9dg1jcmb5k,7,NaN,Midfielder,Left/Centre,NaN,14,5,7,5,1,NaN,3,17,20,2,64,8,4,NaN,24,13,18,1,NaN,2,NaN,1,2,1,2,5,1,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,15,SVK,1_liga
A. Morong,alnhvswa0mkn6ls9x2fomlexh,8z6b1xgghbcalbv9dg1jcmb5k,5,1,Midfielder,Centre/Right,NaN,11,4,3,4,2,NaN,2,11,17,2,59,4,1,1,20,7,11,NaN,NaN,NaN,1,NaN,5,NaN,1,3,1,,NaN,2,NaN,,2,1,1,1,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,13,SVK,1_liga
A. Krčík,43ssius9znhjpkfvc93go6wa1,8z6b1xgghbcalbv9dg1jcmb5k,4,NaN,Midfielder,Right,NaN,34,2,5,7,6,1,1,29,46,7,90,19,3,3,44,19,26,2,1,2,1,NaN,5,NaN,1,3,1,,1,1,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27,17,SVK,1_liga
