playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Baždarić,Trenčín,Podbrezová vs Trenčín,2025-09-20,0.4250155,0.0382135
A. Baždarić,Trenčín,Trenčín vs FC Košice,2025-11-08,0.8431061000000001,0.4392018
A. Baždarić,Trenčín,Trenčín vs Komárno,2025-10-25,0.19365960000000002,0.057338
A. Baždarić,Trenčín,Trenčín vs Ružomberok,2025-09-13,0.0894529,0.025962600000000002
A. Baždarić,Trenčín,Trenčín vs Spartak Trnava,2025-08-03,0.0048753,-0.0047607
A. Baždarić,Trenčín,Zemplín Michalovce vs Trenčín,2025-10-04,0.0272493,-0.000949499999999999
A. Fiala,Trenčín,DAC 1904 vs Trenčín,2025-08-23,0.013162,-0.0030156000000000007
A. Fiala,Trenčín,FC Košice vs Trenčín,2025-08-10,0.0,0.0
A. Fiala,Trenčín,Podbrezová vs Trenčín,2025-09-20,0.3805976,0.0931411
A. Fiala,Trenčín,Trenčín vs Ružomberok,2025-09-13,0.9431869,0.4719965
A. Fiala,Trenčín,Trenčín vs Skalica,2025-10-18,0.1110701,-0.09898620000000001
A. Fiala,Trenčín,Trenčín vs Slovan Bratislava,2025-09-27,0.6060629000000001,0.3638061
A. Fiala,Trenčín,Trenčín vs Žilina,2025-08-17,0.1699245,0.1188014
A. Fiala,Trenčín,Zemplín Michalovce vs Trenčín,2025-10-04,0.1257385,0.0575351
A. Florea,Žilina,Žilina vs FC Košice,2025-10-04,0.047816000000000004,0.0289817
A. Florea,Žilina,Žilina vs Spartak Trnava,2025-09-28,0.0031601,-0.0004597
A. Gajdoš,Slovan Bratislava,Komárno vs Slovan Bratislava,2025-10-29,0.1342256,-0.06953809999999999
A. Gajdoš,Slovan Bratislava,Podbrezová vs Slovan Bratislava,2025-11-01,0.39184209999999997,-0.028707300000000005
A. Gaži,Skalica,Komárno vs Skalica,2025-08-30,0.46010080000000003,0.24433169999999999
A. Gaži,Skalica,Podbrezová vs Skalica,2025-11-08,0.1826362,-0.07955140000000001
A. Gaži,Skalica,Ružomberok vs Skalica,2025-08-12,0.0152821,0.010463299999999998
A. Gaži,Skalica,Skalica vs DAC 1904,2025-10-05,0.17785310000000001,0.079858
A. Gaži,Skalica,Skalica vs FC Košice,2025-09-20,0.1294877,0.0561914
A. Gaži,Skalica,Skalica vs Podbrezová,2025-08-09,0.2299694,0.1238418
A. Gaži,Skalica,Skalica vs Ružomberok,2025-11-01,0.4841994,0.1803572
A. Gaži,Skalica,Skalica vs Spartak Trnava,2025-09-13,0.0809015,0.0518742
A. Gaži,Skalica,Skalica vs Tatran Prešov,2025-08-23,0.1836199,0.06804299999999999
A. Gaži,Skalica,Skalica vs Žilina,2025-07-27,0.1385249,0.0393743
A. Gaži,Skalica,Slovan Bratislava vs Skalica,2025-08-16,0.3253604,0.1159677
A. Gaži,Skalica,Trenčín vs Skalica,2025-10-18,0.3738807,0.1488652
A. Gaži,Skalica,Zemplín Michalovce vs Skalica,2025-09-27,0.2032044,-0.0305649
A. Gaži,Skalica,Žilina vs Skalica,2025-10-25,0.0,0.0
A. Goljan,FC Košice,FC Košice vs DAC 1904,2025-10-01,0.5139068,0.24272799999999997
A. Goljan,FC Košice,FC Košice vs Podbrezová,2025-10-25,0.1015542,-0.0394397
A. Goljan,FC Košice,FC Košice vs Trenčín,2025-08-10,0.1268844,0.0381223
A. Goljan,FC Košice,Podbrezová vs FC Košice,2025-07-27,0.0188815,-0.0301448
A. Goljan,FC Košice,Žilina vs FC Košice,2025-10-04,0.5725953,0.172116
A. Gruber,DAC 1904,DAC 1904 vs FC Košice,2025-11-01,0.2450768,0.013517499999999995
A. Gruber,DAC 1904,DAC 1904 vs Komárno,2025-09-27,0.1452294,-0.0646647
A. Gruber,DAC 1904,DAC 1904 vs Podbrezová,2025-09-14,0.2124554,0.0480623
A. Gruber,DAC 1904,DAC 1904 vs Ružomberok,2025-08-09,0.6803727,0.2521277
A. Gruber,DAC 1904,DAC 1904 vs Trenčín,2025-08-23,0.8880772,0.27030259999999995
A. Gruber,DAC 1904,DAC 1904 vs Zemplín Michalovce,2025-07-26,0.19212980000000002,0.08060439999999999
A. Gruber,DAC 1904,DAC 1904 vs Žilina,2025-10-19,0.4420526,0.1062342
A. Gruber,DAC 1904,FC Košice vs DAC 1904,2025-10-01,0.0785015,-0.033660999999999996
A. Gruber,DAC 1904,Skalica vs DAC 1904,2025-10-05,0.0357914,0.008817399999999998
A. Gruber,DAC 1904,Slovan Bratislava vs DAC 1904,2025-09-20,0.2913641,0.0565631
A. Gruber,DAC 1904,Spartak Trnava vs DAC 1904,2025-08-31,0.3150813,0.1245807
A. Gruber,DAC 1904,Tatran Prešov vs DAC 1904,2025-08-16,0.48285659999999997,0.1190433
A. Gruber,DAC 1904,Zemplín Michalovce vs DAC 1904,2025-10-25,0.3695814,0.08164890000000001
A. Gueye,DAC 1904,DAC 1904 vs FC Košice,2025-11-01,0.0011917,0.0003084
A. Gueye,DAC 1904,DAC 1904 vs Podbrezová,2025-09-14,0.17711659999999999,0.1040646
A. Gueye,DAC 1904,DAC 1904 vs Ružomberok,2025-08-09,0.0,0.0
A. Gueye,DAC 1904,DAC 1904 vs Žilina,2025-10-19,0.1703131,0.1178932
A. Gueye,DAC 1904,Skalica vs DAC 1904,2025-10-05,0.1010886,0.028083999999999998
A. Gueye,DAC 1904,Slovan Bratislava vs DAC 1904,2025-09-20,0.0168293,0.0
A. Gueye,DAC 1904,Spartak Trnava vs DAC 1904,2025-08-31,0.0231244,0.0212572
A. Gueye,DAC 1904,Tatran Prešov vs DAC 1904,2025-08-16,0.0,0.0
A. Havrylenko,Podbrezová,DAC 1904 vs Podbrezová,2025-09-14,0.2721812,0.08958269999999999
A. Havrylenko,Podbrezová,FC Košice vs Podbrezová,2025-10-25,0.0481057,0.0005871000000000001
A. Havrylenko,Podbrezová,Podbrezová vs FC Košice,2025-07-27,0.1225421,-0.12261590000000001
A. Havrylenko,Podbrezová,Podbrezová vs Komárno,2025-08-16,0.23479250000000002,-0.0289682
A. Havrylenko,Podbrezová,Podbrezová vs Skalica,2025-11-08,0.0150643,-0.0054578000000000005
A. Havrylenko,Podbrezová,Podbrezová vs Trenčín,2025-09-20,0.3572393,0.1069906
A. Havrylenko,Podbrezová,Podbrezová vs Zemplín Michalovce,2025-08-30,0.1597204,-0.0398166
A. Havrylenko,Podbrezová,Ružomberok vs Podbrezová,2025-09-28,0.37978300000000004,0.2242649
A. Havrylenko,Podbrezová,Skalica vs Podbrezová,2025-08-09,0.350775,0.18850370000000002
A. Havrylenko,Podbrezová,Slovan Bratislava vs Podbrezová,2025-08-02,0.2060026,0.0249719
A. Havrylenko,Podbrezová,Tatran Prešov vs Podbrezová,2025-10-18,0.1884305,0.026921400000000005
A. Havrylenko,Podbrezová,Žilina vs Podbrezová,2025-08-24,0.3777329,0.030324700000000007
A. Húdok,Trenčín,Spartak Trnava vs Trenčín,2025-11-02,0.0467616,0.001066300000000001
A. Húdok,Trenčín,Trenčín vs Komárno,2025-10-25,0.0123525,9.120000000000016e-05
A. Húdok,Trenčín,Trenčín vs Skalica,2025-10-18,0.018624,0.0018407
A. Jakubech,Zemplín Michalovce,Spartak Trnava vs Zemplín Michalovce,2025-09-21,0.0,0.0
A. Kaprálik,Žilina,Skalica vs Žilina,2025-07-27,0.1176514,-0.020843399999999998
A. Kaprálik,Žilina,Trenčín vs Žilina,2025-08-17,0.0682183,-0.1024352
A. Kaprálik,Žilina,Zemplín Michalovce vs Žilina,2025-08-09,0.2638368,0.1631174
A. Kaprálik,Žilina,Žilina vs Tatran Prešov,2025-08-03,0.4269986,0.2080237
A. Katić,Trenčín,DAC 1904 vs Trenčín,2025-08-23,0.0278296,-0.0024173
A. Katić,Trenčín,FC Košice vs Trenčín,2025-08-10,0.0456871,0.0123513
A. Katić,Trenčín,Komárno vs Trenčín,2025-07-26,0.0741821,0.038242399999999996
A. Katić,Trenčín,Podbrezová vs Trenčín,2025-09-20,0.024195,0.0116058
A. Katić,Trenčín,Tatran Prešov vs Trenčín,2025-08-30,0.0244827,0.0020159000000000006
A. Katić,Trenčín,Trenčín vs FC Košice,2025-11-08,0.0408028,0.017720200000000002
A. Katić,Trenčín,Trenčín vs Ružomberok,2025-09-13,0.031507299999999995,-0.003948999999999999
A. Katić,Trenčín,Trenčín vs Slovan Bratislava,2025-09-27,0.0288476,-0.0211197
A. Katić,Trenčín,Trenčín vs Spartak Trnava,2025-08-03,0.0478587,-0.0011177
A. Katić,Trenčín,Trenčín vs Žilina,2025-08-17,0.0385859,0.002341300000000001
A. Katić,Trenčín,Zemplín Michalovce vs Trenčín,2025-10-04,0.0201498,-0.0033718000000000003
A. Krčík,Komárno,Komárno vs Skalica,2025-08-30,0.4033395,0.2109723
A. Krčík,Komárno,Komárno vs Slovan Bratislava,2025-10-29,0.2644097,0.1106937
A. Krčík,Komárno,Komárno vs Trenčín,2025-07-26,0.3268747,0.03240050000000001
A. Krčík,Komárno,Komárno vs Zemplín Michalovce,2025-11-02,0.0331541,0.0009586000000000009
A. Krčík,Komárno,Podbrezová vs Komárno,2025-08-16,0.3859398,0.26871860000000003
A. Krčík,Komárno,Trenčín vs Komárno,2025-10-25,0.1654769,0.0944973
A. Krčík,Komárno,Zemplín Michalovce vs Komárno,2025-08-02,0.18114729999999998,0.0383349
A. Lajčiak,Podbrezová,Podbrezová vs Trenčín,2025-09-20,0.0080267,-0.0105719
A. Marković,Podbrezová,DAC 1904 vs Podbrezová,2025-09-14,0.1167967,-0.0511235
A. Marković,Podbrezová,FC Košice vs Podbrezová,2025-10-25,0.195495,0.0831104
A. Marković,Podbrezová,Podbrezová vs FC Košice,2025-07-27,0.1132954,0.0378782
A. Marković,Podbrezová,Podbrezová vs Komárno,2025-08-16,0.0559782,0.012326199999999999
A. Marković,Podbrezová,Podbrezová vs Skalica,2025-11-08,0.2297838,0.07553320000000001
A. Marković,Podbrezová,Podbrezová vs Slovan Bratislava,2025-11-01,0.0675211,0.048733399999999996
A. Marković,Podbrezová,Podbrezová vs Zemplín Michalovce,2025-08-30,0.1667716,-0.115481
A. Marković,Podbrezová,Ružomberok vs Podbrezová,2025-09-28,0.0820616,-0.08064269999999998
A. Marković,Podbrezová,Skalica vs Podbrezová,2025-08-09,0.0878295,0.0272243
A. Marković,Podbrezová,Slovan Bratislava vs Podbrezová,2025-08-02,0.1024706,0.029818499999999998
A. Marković,Podbrezová,Tatran Prešov vs Podbrezová,2025-10-18,0.1986963,0.000371899999999991
A. Marković,Podbrezová,Žilina vs Podbrezová,2025-08-24,0.3154786,0.0725546
A. Masaryk,Tatran Prešov,FC Košice vs Tatran Prešov,2025-09-27,0.0549411,0.023097
A. Masaryk,Tatran Prešov,Komárno vs Tatran Prešov,2025-10-04,0.0457891,-0.043820300000000006
A. Masaryk,Tatran Prešov,Skalica vs Tatran Prešov,2025-08-23,0.2314406,0.1365367
A. Masaryk,Tatran Prešov,Slovan Bratislava vs Tatran Prešov,2025-10-26,0.0412472,-0.00038469999999999965
A. Masaryk,Tatran Prešov,Spartak Trnava vs Tatran Prešov,2025-08-10,0.0430465,0.0185687
A. Masaryk,Tatran Prešov,Tatran Prešov vs DAC 1904,2025-08-16,0.10987620000000001,0.0598384
A. Masaryk,Tatran Prešov,Tatran Prešov vs Ružomberok,2025-09-20,0.178397,0.12663950000000002
A. Masaryk,Tatran Prešov,Tatran Prešov vs Slovan Bratislava,2025-07-26,0.027464,0.0130969
A. Masaryk,Tatran Prešov,Tatran Prešov vs Žilina,2025-11-01,0.2340678,-0.018312899999999997
