id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,shortFirstName,shortLastName,placeOfBirth,foot,endDate,secondNationality,secondNationalityId,knownName
1gkvh4fvq1sxnhl8hiagpqehh,Boris,Gáll,Male,B. Gáll,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,1994-04-27,Slovakia,7dybe8679n9bgyrcxi383pq3y,177.0,69.0,8.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1si77ro8hvk5qzmqmftf54kmi,Moritz,Römling,Male,M. Römling,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2001-04-30,Germany,36min0qztu8eydwvpv8t1is0m,186.0,76.0,33.0,2025-08-22Z,active,yes,Moritz,Römling,Witten,left,NaN,NaN,NaN,NaN
2qokadl62eifjx6m6homcsijt,Adrián,Knurovský,Male,A. Knurovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1996-11-08,Slovakia,7dybe8679n9bgyrcxi383pq3y,199.0,90.0,1.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2yhln049w2tvmmf2iteagi8a2,Stanislav,Olejník,Male,S. Olejník,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2002-03-31,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,11.0,2024-08-02Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3iuilty0mjw3ukhoxqyito4mi,Dominique Celidor,Simon,Male,D. Simon,France,7gww28djs405rfga69smki84o,Midfielder,player,2000-07-29,France,7gww28djs405rfga69smki84o,NaN,NaN,29.0,2025-08-22Z,active,yes,Dominique,Simon,NaN,NaN,2026-06-30Z,NaN,NaN,NaN
3j8xwqfdkhecuepoh6s6sh4gl,Pavol,Bajza,Male,P. Bajza,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1991-09-04,Slovakia,7dybe8679n9bgyrcxi383pq3y,195.0,89.0,91.0,2025-06-15Z,active,yes,Pavol,Bajza,Žilina,right,NaN,NaN,NaN,NaN
3jug5s4lmb833a9c5e6glmz8p,Roman,Begala,Male,R. Begala,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1999-07-18,Slovakia,7dybe8679n9bgyrcxi383pq3y,175.0,NaN,5.0,2025-07-01Z,active,yes,Roman,Begala,NaN,NaN,NaN,NaN,NaN,NaN
3qmxwch83tjfitdteuo1krmxh,Daniels,Balodis,Male,D. Balodis,Latvia,6s9bglosczqlp9cxh3ze5hdm5,Defender,player,1998-06-10,Latvia,6s9bglosczqlp9cxh3ze5hdm5,185.0,70.0,22.0,2025-07-23Z,active,yes,Daniels,Balodis,Riga,right,NaN,NaN,NaN,NaN
459nbpa2i67z8z28k2bs3yy8l,Michal,Sipľak,Male,M. Sipľak,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1996-02-02,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,80.0,3.0,2025-07-01Z,active,yes,Michal,Siplak,Bardejov,left,NaN,NaN,NaN,NaN
4b1lgnasxb84dnih8w1pzrndg,Kyrylo,Siheiev,Male,K. Siheiev,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,2004-05-16,Ukraine,315w6fk6umfzf4qvba3t55u61,182.0,67.0,14.0,2025-07-14Z,active,yes,Kyrylo,Siheiev,Horlivka,right,2026-06-30Z,NaN,NaN,NaN
5e2qh0fbsa9qwlwzv5wsx86xg,Vladyslav,Kravets,Male,V. Kravets,Ukraine,315w6fk6umfzf4qvba3t55u61,Goalkeeper,player,2005-01-28,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,2025-09-05Z,active,no,Vladyslav,Kravets,NaN,NaN,2025-09-06Z,NaN,NaN,NaN
5p12h2xenxthhesbyi2hgmmsp,Jaroslav,Hynek,Male,J. Hynek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,coach,1975-09-05,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,2025-03-20Z,active,no,Jaroslav,Hynek,NaN,NaN,2025-09-02Z,NaN,NaN,NaN
6viyilrzzpm5u542b3rl4oa21,Denis,Potoma,Male,D. Potoma,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2000-02-15,Slovakia,7dybe8679n9bgyrcxi383pq3y,175.0,65.0,17.0,2024-07-26Z,active,no,Denis,Potoma,Svidník,NaN,2025-08-26Z,NaN,NaN,NaN
75tv50esg8s1hdlrn4w3v4lih,Ioan-Călin,Revenco,Male,I. Revenco,Moldova,389mdnq78a55g2gr040a3mmtj,Defender,player,2000-06-26,Moldova,389mdnq78a55g2gr040a3mmtj,176.0,70.0,2.0,2025-07-01Z,active,yes,Ioan-Calin,Revenco,Chișinău,right,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN
83jtk0ynvhrgrw7owyd33nk5x,Maksym,Kuchynskyi,Male,M. Kuchynskyi,Ukraine,315w6fk6umfzf4qvba3t55u61,Goalkeeper,player,1988-06-28,Ukraine,315w6fk6umfzf4qvba3t55u61,190.0,87.0,99.0,2025-07-01Z,active,yes,NaN,NaN,Zaporizhzhia,NaN,NaN,NaN,NaN,NaN
8i1kvwv9cvrinitko3zyii21h,Jozef,Menich,Male,J. Menich,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1994-09-15,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,80.0,31.0,2024-08-02Z,active,yes,Jozef,Menich,NaN,NaN,NaN,NaN,NaN,NaN
