playerName,team_name,label,date,318.0
A. Baždarić,Trenčín,Trenčín vs Spartak Trnava,2025-08-03,0.0
A. Fiala,Trenčín,DAC 1904 vs Trenčín,2025-08-23,0.00018702
A. Fiala,Trenčín,FC Košice vs Trenčín,2025-08-10,0.0
A. Fiala,Trenčín,Trenčín vs Žilina,2025-08-17,0.10760727
A. Gaži,Skalica,Komárno vs Skalica,2025-08-30,0.03773431
A. Gaži,Skalica,Ružomberok vs Skalica,2025-08-12,0.03949621
A. Gaži,Skalica,Skalica vs Podbrezová,2025-08-09,0.053069080000000005
A. Gaži,Skalica,Skalica vs Tatran Prešov,2025-08-23,0.03201434
A. Gaži,Skalica,Skalica vs Žilina,2025-07-27,0.02059418
A. Gaži,Skalica,Slovan Bratislava vs Skalica,2025-08-16,0.02488547
A. Goljan,FC Košice,FC Košice vs Trenčín,2025-08-10,0.03391063
A. Goljan,FC Košice,Podbrezová vs FC Košice,2025-07-27,0.0027421399999999997
A. Gruber,DAC 1904,DAC 1904 vs Ružomberok,2025-08-09,0.29378061
A. Gruber,DAC 1904,DAC 1904 vs Trenčín,2025-08-23,0.73296003
A. Gruber,DAC 1904,DAC 1904 vs Zemplín Michalovce,2025-07-26,0.046501379999999995
A. Gruber,DAC 1904,Spartak Trnava vs DAC 1904,2025-08-31,0.03151315
A. Gruber,DAC 1904,Tatran Prešov vs DAC 1904,2025-08-16,0.02270764
A. Gueye,DAC 1904,DAC 1904 vs Ružomberok,2025-08-09,0.0
A. Gueye,DAC 1904,Spartak Trnava vs DAC 1904,2025-08-31,0.00050136
A. Gueye,DAC 1904,Tatran Prešov vs DAC 1904,2025-08-16,0.0
A. Havrylenko,Podbrezová,Podbrezová vs FC Košice,2025-07-27,0.00392072
A. Havrylenko,Podbrezová,Podbrezová vs Komárno,2025-08-16,0.18964719
A. Havrylenko,Podbrezová,Podbrezová vs Zemplín Michalovce,2025-08-30,0.00222757
A. Havrylenko,Podbrezová,Skalica vs Podbrezová,2025-08-09,0.06339389
A. Havrylenko,Podbrezová,Slovan Bratislava vs Podbrezová,2025-08-02,0.006270759999999999
A. Havrylenko,Podbrezová,Žilina vs Podbrezová,2025-08-24,0.04292993
A. Kaprálik,Žilina,Skalica vs Žilina,2025-07-27,0.01676536
A. Kaprálik,Žilina,Trenčín vs Žilina,2025-08-17,0.00329714
A. Kaprálik,Žilina,Zemplín Michalovce vs Žilina,2025-08-09,0.11367659
A. Kaprálik,Žilina,Žilina vs Tatran Prešov,2025-08-03,0.05575306
A. Katić,Trenčín,DAC 1904 vs Trenčín,2025-08-23,0.00089684
A. Katić,Trenčín,FC Košice vs Trenčín,2025-08-10,0.00145613
A. Katić,Trenčín,Komárno vs Trenčín,2025-07-26,0.00237361
A. Katić,Trenčín,Tatran Prešov vs Trenčín,2025-08-30,0.00029695000000000004
A. Katić,Trenčín,Trenčín vs Spartak Trnava,2025-08-03,0.00018027
A. Katić,Trenčín,Trenčín vs Žilina,2025-08-17,0.0002107
A. Krčík,Komárno,Komárno vs Skalica,2025-08-30,0.08397592
A. Krčík,Komárno,Komárno vs Trenčín,2025-07-26,0.04795833
A. Krčík,Komárno,Podbrezová vs Komárno,2025-08-16,0.18419011
A. Krčík,Komárno,Zemplín Michalovce vs Komárno,2025-08-02,0.00865161
A. Marković,Podbrezová,Podbrezová vs FC Košice,2025-07-27,0.00366847
A. Marković,Podbrezová,Podbrezová vs Komárno,2025-08-16,0.00385667
A. Marković,Podbrezová,Podbrezová vs Zemplín Michalovce,2025-08-30,0.056309149999999995
A. Marković,Podbrezová,Skalica vs Podbrezová,2025-08-09,0.00572553
A. Marković,Podbrezová,Slovan Bratislava vs Podbrezová,2025-08-02,0.04113027
A. Marković,Podbrezová,Žilina vs Podbrezová,2025-08-24,0.04285234
A. Masaryk,Tatran Prešov,Skalica vs Tatran Prešov,2025-08-23,0.00844587
A. Masaryk,Tatran Prešov,Spartak Trnava vs Tatran Prešov,2025-08-10,0.007722100000000001
A. Masaryk,Tatran Prešov,Tatran Prešov vs DAC 1904,2025-08-16,0.00825088
A. Masaryk,Tatran Prešov,Tatran Prešov vs Slovan Bratislava,2025-07-26,5.72e-06
A. Masaryk,Tatran Prešov,Žilina vs Tatran Prešov,2025-08-03,0.00285113
A. Mojžiš,Ružomberok,DAC 1904 vs Ružomberok,2025-08-09,0.0228489
A. Mojžiš,Ružomberok,FC Košice vs Ružomberok,2025-08-23,0.00856265
A. Mojžiš,Ružomberok,Ružomberok vs Žilina,2025-08-31,0.16944012
A. Morong,Skalica,Ružomberok vs Skalica,2025-08-12,0.23449404000000001
A. Morong,Skalica,Skalica vs Podbrezová,2025-08-09,0.7424323899999999
A. Morong,Skalica,Skalica vs Žilina,2025-07-27,0.01837402
A. Morong,Skalica,Slovan Bratislava vs Skalica,2025-08-16,0.04427468
A. Mustafić,Slovan Bratislava,Tatran Prešov vs Slovan Bratislava,2025-07-26,0.13345899
A. Musák,Zemplín Michalovce,DAC 1904 vs Zemplín Michalovce,2025-07-26,0.13070842
A. Musák,Zemplín Michalovce,Podbrezová vs Zemplín Michalovce,2025-08-30,0.07224963000000001
A. Musák,Zemplín Michalovce,Ružomberok vs Zemplín Michalovce,2025-08-16,0.08883545000000001
A. Musák,Zemplín Michalovce,Zemplín Michalovce vs Komárno,2025-08-02,0.06489253
A. Musák,Zemplín Michalovce,Zemplín Michalovce vs Žilina,2025-08-09,0.21290688
A. Narimanidze,Žilina,Ružomberok vs Žilina,2025-08-31,0.005055560000000001
A. Narimanidze,Žilina,Skalica vs Žilina,2025-07-27,0.004696489999999999
A. Narimanidze,Žilina,Trenčín vs Žilina,2025-08-17,0.00375616
A. Narimanidze,Žilina,Zemplín Michalovce vs Žilina,2025-08-09,0.14795101
A. Narimanidze,Žilina,Žilina vs Podbrezová,2025-08-24,0.00263012
A. Narimanidze,Žilina,Žilina vs Tatran Prešov,2025-08-03,3.4439999999999996e-05
A. Popović,DAC 1904,DAC 1904 vs Trenčín,2025-08-23,3.537e-05
A. Popović,DAC 1904,Spartak Trnava vs DAC 1904,2025-08-31,0.00136696
A. Ravas,Skalica,Skalica vs Tatran Prešov,2025-08-23,2.812e-05
A. Selecký,Ružomberok,DAC 1904 vs Ružomberok,2025-08-09,0.00021776
A. Selecký,Ružomberok,Ružomberok vs Skalica,2025-08-12,0.30187964
A. Selecký,Ružomberok,Ružomberok vs Zemplín Michalovce,2025-08-16,0.13752805
A. Selecký,Ružomberok,Ružomberok vs Žilina,2025-08-31,0.41542689
A. Selecký,Ružomberok,Spartak Trnava vs Ružomberok,2025-07-27,0.032586739999999996
A. Slávik,Ružomberok,DAC 1904 vs Ružomberok,2025-08-09,0.01643927
A. Slávik,Ružomberok,Ružomberok vs Skalica,2025-08-12,0.04065862
A. Slávik,Ružomberok,Ružomberok vs Zemplín Michalovce,2025-08-16,0.00073151
A. Slávik,Ružomberok,Spartak Trnava vs Ružomberok,2025-07-27,0.01205114
A. Sylla,DAC 1904,DAC 1904 vs Ružomberok,2025-08-09,0.01697609
A. Sylla,DAC 1904,DAC 1904 vs Trenčín,2025-08-23,0.00758089
A. Sylla,DAC 1904,DAC 1904 vs Zemplín Michalovce,2025-07-26,0.45234229
A. Sylla,DAC 1904,Spartak Trnava vs DAC 1904,2025-08-31,0.03747952
A. Sylla,DAC 1904,Tatran Prešov vs DAC 1904,2025-08-16,0.17533425
A. Tučný,Ružomberok,DAC 1904 vs Ružomberok,2025-08-09,0.19316265999999999
A. Tučný,Ružomberok,FC Košice vs Ružomberok,2025-08-23,0.01471182
A. Tučný,Ružomberok,Ružomberok vs Skalica,2025-08-12,0.36217531000000003
A. Tučný,Ružomberok,Ružomberok vs Zemplín Michalovce,2025-08-16,0.07048531999999999
