playerName,team_name,label,date,318.0
A. Christiansen,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.01822434
A. Faye,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.03797471
A. Layouni,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.03901182
A. Linde,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.00068503
A. Lundkvist,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.10898172
A. Priske,Djurgården,Djurgården vs Malmö FF,2025-03-29,0.01292662
A. Sigurðsson,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.029904640000000003
A. Ståhl,Djurgården,Djurgården vs Malmö FF,2025-03-29,0.11736571
A. Timossi Andersson,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.01759871
B. Wembangomo,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.03560752
C. Rösler,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.0015534400000000001
D. Blažević,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.00063514
D. Stensson,Djurgården,Djurgården vs Malmö FF,2025-03-29,0.17027762000000002
Daleho Irandust,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.06437771
E. Alladoh,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.01982808
E. Botheim,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.01116313
E. Hovland,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.00257919
F. Christensen,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.02634306
Gabriel Busanello,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.050904149999999995
H. Bolin,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.0030888400000000002
H. Karlsson,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.02583774
I. Kiese Thelin,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.01251539
J. Dembe,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.00558486
J. Lindberg,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.01722493
J. Rinne,Djurgården,Djurgården vs Malmö FF,2025-03-29,0.00337527
J. Stryger Larsen,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.52259205
J. Une Larsson,Djurgården,Djurgården vs Malmö FF,2025-03-29,0.005313340000000001
K. Ackermann,Brommapojkarna,Häcken vs Brommapojkarna,2025-03-29,0.06201506
K. Kosugi,Djurgården,Djurgården vs Malmö FF,2025-03-29,0.02928589
L. Berg Johnsen,Malmö FF,Djurgården vs Malmö FF,2025-03-29,0.0106106
L. Väisänen,Häcken,Häcken vs Brommapojkarna,2025-03-29,0.00080851
