id,firstName,lastName,shortFirstName,shortLastName,gender,knownName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active
1b9b97pxox77ia41cilqqm4iy,Elio Nicolas,de Araujo Firmino,Elio Nicolas,de Araujo Firmino,Male,Nick Firmino,Nick Firmino,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2001-01-30,Mantena,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,180.0,79.0,right,51.0,active,yes
1lomb7f44ltsoyxg1er4pg1jp,Rob,Valentino,Rob,Valentino,Male,NaN,R. Valentino,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,assistant coach,1985-12-21,Hoffman Estates,USA,7hr2f89v44y65dyu9k92vprwn,191.0,86.0,NaN,NaN,active,no
234q7lf0bx51r8wehvg51r4k5,Brooks Howard,Lennon,Brooks,Lennon,Male,NaN,B. Lennon,USA,7hr2f89v44y65dyu9k92vprwn,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Defender,player,1997-09-22,Paradise Valley,USA,7hr2f89v44y65dyu9k92vprwn,178.0,71.0,right,11.0,active,yes
26r7731d42flwc6ikxb90jxlh,Bradley Edwin,Guzan,Brad,Guzan,Male,NaN,B. Guzan,USA,7hr2f89v44y65dyu9k92vprwn,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,1984-09-09,Evergreen Park,USA,7hr2f89v44y65dyu9k92vprwn,193.0,94.0,left,1.0,active,yes
2m8qy80axrfogcwd8ryy17vmd,Gonzalo,Pineda Reyes,Gonzalo,Pineda,Male,NaN,G. Pineda,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,NaN,coach,1982-10-19,Ciudad de México,Mexico,5trdr3jf42i20zj1hnkvcytr6,177.0,67.0,NaN,NaN,active,no
2p6uagebunshlw5zmp16748dm,Caleb Ryan,Wiley,Caleb,Wiley,Male,NaN,C. Wiley,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2004-12-22,Atlanta,USA,7hr2f89v44y65dyu9k92vprwn,180.0,73.0,left,26.0,active,no
2uis9d0h87arn5ew3bg1si40l,Derrick Burckley,Etienne Jr.,Derrick,Etienne Jr.,Male,NaN,D. Etienne,Haiti,5mp58o38d0mr5qt8g4o6l7efg,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1996-11-25,"Richmond, Virginia",USA,7hr2f89v44y65dyu9k92vprwn,178.0,77.0,right,18.0,active,no
2v8vn85tt9d203vz6gdkf9ln9,Luiz,de Araújo Guimarães Neto,Luiz,de Araújo Guimarães Neto,Male,Luiz Araújo,Luiz Araújo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Attacker,player,1996-06-02,Taquaritinga,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,175.0,70.0,left,NaN,active,no
3vlv0gwh5fgwri12fkn4k2stm,Edwin Stiven,Mosquera Palacios,Edwin,Mosquera,Male,NaN,E. Mosquera,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Midfielder,player,2001-06-27,Quibdó,Colombia,6kby8rq1p01fg5ds38ckkrcs5,172.0,68.0,NaN,21.0,active,yes
3w14rgqjh2jmrfib07kf17hpm,Santiago Leonel,Sosa,Santiago,Sosa,Male,Santiago Sosa,S. Sosa,Argentina,2vovxa97k7v7ofa85dah2xktb,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,1999-05-03,La Plata,Argentina,2vovxa97k7v7ofa85dah2xktb,175.0,78.0,right,5.0,active,no
