playerName,team_name,label,date,318.0
A. Aceves,Chicago Fire,Atlanta United vs Chicago Fire,2023-04-23,0.00200651
A. Aceves,Chicago Fire,Charlotte vs Chicago Fire,2023-05-17,0.0104603
A. Aceves,Chicago Fire,Chicago Fire vs Charlotte,2023-10-07,0.00161616
A. Aceves,Chicago Fire,Chicago Fire vs Montréal,2023-07-12,0.00963268
A. Aceves,Chicago Fire,Chicago Fire vs Nashville SC,2023-07-08,0.0
A. Aceves,Chicago Fire,Chicago Fire vs New England,2023-09-23,0.00069018
A. Aceves,Chicago Fire,Chicago Fire vs New York RB,2023-04-29,0.0061325
A. Aceves,Chicago Fire,Cincinnati vs Chicago Fire,2023-06-03,0.14505558000000002
A. Aceves,Chicago Fire,Columbus Crew vs Chicago Fire,2023-09-20,0.01009661
A. Aceves,Chicago Fire,DC United vs Chicago Fire,2023-09-02,0.03167682
A. Aceves,Chicago Fire,Inter Miami vs Chicago Fire,2023-03-25,0.00110458
A. Aceves,Chicago Fire,LA Galaxy vs Chicago Fire,2023-08-26,0.00010528
A. Aceves,Chicago Fire,Montréal vs Chicago Fire,2023-09-16,0.0046733
A. Aceves,Chicago Fire,Nashville SC vs Chicago Fire,2023-05-06,0.02036037
A. Aceves,Chicago Fire,New England vs Chicago Fire,2023-05-27,0.00967764
A. Aceves,Chicago Fire,New York City vs Chicago Fire,2023-10-21,0.1197386
A. Aceves,Chicago Fire,Orlando City vs Chicago Fire,2023-07-01,0.00390583
A. Aceves,Chicago Fire,Portland Timbers vs Chicago Fire,2023-06-21,0.00860323
A. Aceves,Chicago Fire,Sporting KC vs Chicago Fire,2023-06-24,0.0016051799999999999
A. Aceves,Chicago Fire,Toronto vs Chicago Fire,2023-05-31,9.628e-05
A. Ahmed,Vancouver Whitecaps,Austin vs Vancouver Whitecaps,2023-04-15,0.052958950000000005
A. Ahmed,Vancouver Whitecaps,Chicago Fire vs Vancouver Whitecaps,2023-08-30,0.05613116
A. Ahmed,Vancouver Whitecaps,Colorado Rapids vs Vancouver Whitecaps,2023-09-27,0.28973964
A. Ahmed,Vancouver Whitecaps,Houston Dynamo vs Vancouver Whitecaps,2023-09-20,0.08890417
A. Ahmed,Vancouver Whitecaps,Los Angeles vs Vancouver Whitecaps,2023-10-28,0.01307911
A. Ahmed,Vancouver Whitecaps,New York City vs Vancouver Whitecaps,2023-09-02,0.00080544
A. Ahmed,Vancouver Whitecaps,Real Salt Lake vs Vancouver Whitecaps,2023-09-23,0.01647376
A. Ahmed,Vancouver Whitecaps,Toronto vs Vancouver Whitecaps,2023-09-16,0.03247274
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs Colorado Rapids,2023-04-29,0.27278861
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs DC United,2023-09-30,0.00698688
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs Dallas,2023-03-11,0.0
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs LA Galaxy,2023-07-15,0.08081707
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs Los Angeles,2023-10-21,0.005847069999999999
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs Los Angeles,2023-11-05,0.0662223
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs Montréal,2023-04-01,0.30057279
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs Real Salt Lake,2023-02-25,0.0036301799999999998
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs SJ Earthquakes,2023-08-20,0.22791125
A. Ahmed,Vancouver Whitecaps,Vancouver Whitecaps vs St. Louis City,2023-10-04,0.18207421999999998
A. Akinola,SJ Earthquakes,DC United vs SJ Earthquakes,2023-09-09,0.00135024
A. Akinola,SJ Earthquakes,Portland Timbers vs SJ Earthquakes,2023-09-20,0.00606935
A. Akinola,SJ Earthquakes,SJ Earthquakes vs LA Galaxy,2023-08-30,0.0
A. Akinola,SJ Earthquakes,SJ Earthquakes vs Nashville SC,2023-09-23,0.0
A. Akinola,SJ Earthquakes,SJ Earthquakes vs Real Salt Lake,2023-09-16,0.0
A. Akinola,SJ Earthquakes,Sporting KC vs SJ Earthquakes,2023-08-26,0.0010368299999999999
A. Akinola,SJ Earthquakes,Vancouver Whitecaps vs SJ Earthquakes,2023-08-20,6.041e-05
A. Akinola,Toronto,Atlanta United vs Toronto,2023-03-04,0.010050529999999998
A. Akinola,Toronto,Chicago Fire vs Toronto,2023-07-15,0.04248656
A. Akinola,Toronto,DC United vs Toronto,2023-02-25,0.012898610000000001
A. Akinola,Toronto,Montréal vs Toronto,2023-05-13,0.00175761
A. Akinola,Toronto,Nashville SC vs Toronto,2023-04-08,0.01545116
A. Akinola,Toronto,New England vs Toronto,2023-06-24,0.01037043
A. Akinola,Toronto,Orlando City vs Toronto,2023-07-04,0.00317531
A. Akinola,Toronto,Toronto vs Atlanta United,2023-04-15,0.00380686
A. Akinola,Toronto,Toronto vs Charlotte,2023-04-01,0.02090746
A. Akinola,Toronto,Toronto vs DC United,2023-05-27,0.00213742
A. Akinola,Toronto,Toronto vs Inter Miami,2023-03-18,0.0014112600000000001
A. Akinola,Toronto,Toronto vs New York RB,2023-05-17,0.00772895
A. Akinola,Toronto,Toronto vs Real Salt Lake,2023-07-01,0.20062141
A. Akinola,Toronto,Toronto vs St. Louis City,2023-07-08,0.04938346
A. Bassi,Houston Dynamo,Austin vs Houston Dynamo,2023-06-24,0.00519407
A. Bassi,Houston Dynamo,Dallas vs Houston Dynamo,2023-05-20,0.05947678
A. Bassi,Houston Dynamo,Houston Dynamo vs Austin,2023-03-18,0.15727389
A. Bassi,Houston Dynamo,Houston Dynamo vs Austin,2023-05-27,0.43591894999999997
A. Bassi,Houston Dynamo,Houston Dynamo vs Colorado Rapids,2023-10-07,0.34281362
A. Bassi,Houston Dynamo,Houston Dynamo vs Columbus Crew,2023-08-30,0.50880264
A. Bassi,Houston Dynamo,Houston Dynamo vs Dallas,2023-09-30,0.09943555
A. Bassi,Houston Dynamo,Houston Dynamo vs Inter Miami,2023-04-22,0.37711668
A. Bassi,Houston Dynamo,Houston Dynamo vs LA Galaxy,2023-04-08,0.08166071
A. Bassi,Houston Dynamo,Houston Dynamo vs Los Angeles,2023-06-10,0.24824492
A. Bassi,Houston Dynamo,Houston Dynamo vs Minnesota United,2023-07-12,0.83616019
A. Bassi,Houston Dynamo,Houston Dynamo vs New York City,2023-03-25,0.04399208
A. Bassi,Houston Dynamo,Houston Dynamo vs Portland Timbers,2023-08-20,0.30234761
A. Bassi,Houston Dynamo,Houston Dynamo vs Real Salt Lake,2023-05-06,0.0823981
A. Bassi,Houston Dynamo,Houston Dynamo vs Real Salt Lake,2023-10-29,0.19429334
A. Bassi,Houston Dynamo,Houston Dynamo vs Real Salt Lake,2023-11-11,0.17573877999999998
A. Bassi,Houston Dynamo,Houston Dynamo vs SJ Earthquakes,2023-06-21,0.22784451
A. Bassi,Houston Dynamo,Houston Dynamo vs Seattle Sounders,2023-05-13,0.1046526
A. Bassi,Houston Dynamo,Houston Dynamo vs Sporting KC,2023-07-08,0.13683969
A. Bassi,Houston Dynamo,Houston Dynamo vs Sporting KC,2023-11-26,0.16045774
A. Bassi,Houston Dynamo,Houston Dynamo vs St. Louis City,2023-09-16,0.20067313
A. Bassi,Houston Dynamo,LA Galaxy vs Houston Dynamo,2023-09-02,1.43539446
A. Bassi,Houston Dynamo,Los Angeles vs Houston Dynamo,2023-06-14,0.055739109999999994
A. Bassi,Houston Dynamo,Los Angeles vs Houston Dynamo,2023-12-02,0.06979062
A. Bassi,Houston Dynamo,Montréal vs Houston Dynamo,2023-10-04,0.45084055
A. Bassi,Houston Dynamo,New England vs Houston Dynamo,2023-03-04,0.05333425
A. Bassi,Houston Dynamo,New York RB vs Houston Dynamo,2023-04-15,0.022299119999999995
A. Bassi,Houston Dynamo,Portland Timbers vs Houston Dynamo,2023-10-21,0.04120831
A. Bassi,Houston Dynamo,Real Salt Lake vs Houston Dynamo,2023-08-26,0.00132058
A. Bassi,Houston Dynamo,Real Salt Lake vs Houston Dynamo,2023-11-06,0.00881262
A. Bassi,Houston Dynamo,SJ Earthquakes vs Houston Dynamo,2023-04-01,0.09601464999999999
A. Bassi,Houston Dynamo,Seattle Sounders vs Houston Dynamo,2023-07-01,0.25020871
A. Bassi,Houston Dynamo,Vancouver Whitecaps vs Houston Dynamo,2023-05-31,0.08146429000000001
A. Bedoya,Philadelphia Union,Atlanta United vs Philadelphia Union,2023-07-02,0.08755494999999999
A. Bedoya,Philadelphia Union,Charlotte vs Philadelphia Union,2023-09-20,0.02205351
A. Bedoya,Philadelphia Union,Chicago Fire vs Philadelphia Union,2023-04-15,0.1549619
A. Bedoya,Philadelphia Union,Cincinnati vs Philadelphia Union,2023-04-08,0.031091280000000002
A. Bedoya,Philadelphia Union,Cincinnati vs Philadelphia Union,2023-11-25,0.05762585
A. Bedoya,Philadelphia Union,Colorado Rapids vs Philadelphia Union,2023-05-13,0.07017735
A. Bedoya,Philadelphia Union,Columbus Crew vs Philadelphia Union,2023-09-30,0.0019212300000000001
A. Bedoya,Philadelphia Union,DC United vs Philadelphia Union,2023-08-26,0.03196711
A. Bedoya,Philadelphia Union,Inter Miami vs Philadelphia Union,2023-03-04,0.08108133
A. Bedoya,Philadelphia Union,LA Galaxy vs Philadelphia Union,2023-07-08,0.15009662000000001
A. Bedoya,Philadelphia Union,Montréal vs Philadelphia Union,2023-03-18,0.02795449
A. Bedoya,Philadelphia Union,Nashville SC vs Philadelphia Union,2023-07-12,0.16489793
A. Bedoya,Philadelphia Union,New England vs Philadelphia Union,2023-10-21,0.07128514999999999
A. Bedoya,Philadelphia Union,New England vs Philadelphia Union,2023-11-08,0.13207687
A. Bedoya,Philadelphia Union,New York RB vs Philadelphia Union,2023-05-06,0.02009505
A. Bedoya,Philadelphia Union,Orlando City vs Philadelphia Union,2023-06-21,0.01409013
A. Bedoya,Philadelphia Union,Philadelphia Union vs Atlanta United,2023-10-04,0.04211625
A. Bedoya,Philadelphia Union,Philadelphia Union vs Chicago Fire,2023-03-11,0.06829208
A. Bedoya,Philadelphia Union,Philadelphia Union vs Columbus Crew,2023-02-25,0.54520309
A. Bedoya,Philadelphia Union,Philadelphia Union vs DC United,2023-05-17,0.29188888
A. Bedoya,Philadelphia Union,Philadelphia Union vs Dallas,2023-09-27,0.004748179999999999
A. Bedoya,Philadelphia Union,Philadelphia Union vs Inter Miami,2023-06-24,0.07545307
A. Bedoya,Philadelphia Union,Philadelphia Union vs Los Angeles,2023-09-23,0.02792224
A. Bedoya,Philadelphia Union,Philadelphia Union vs Nashville SC,2023-10-07,0.04219197
A. Bedoya,Philadelphia Union,Philadelphia Union vs New England,2023-10-28,0.05294287
A. Bedoya,Philadelphia Union,Philadelphia Union vs New York City,2023-07-15,0.005696860000000001
A. Bedoya,Philadelphia Union,Philadelphia Union vs New York RB,2023-09-03,0.08785517
A. Bedoya,Philadelphia Union,Philadelphia Union vs Orlando City,2023-03-25,0.24558391000000002
A. Bedoya,Philadelphia Union,Philadelphia Union vs Sporting KC,2023-04-01,0.10821821
A. Bedoya,Philadelphia Union,Philadelphia Union vs Toronto,2023-04-22,0.12600942
A. Bedoya,Philadelphia Union,Toronto vs Philadelphia Union,2023-08-30,0.05814596
A. Bibout,LA Galaxy,Colorado Rapids vs LA Galaxy,2023-06-24,0.00634093
A. Bibout,LA Galaxy,LA Galaxy vs Sporting KC,2023-06-21,0.00628103
A. Blake,Philadelphia Union,Charlotte vs Philadelphia Union,2023-09-20,0.00034647
A. Blake,Philadelphia Union,Chicago Fire vs Philadelphia Union,2023-04-15,0.00018386
A. Blake,Philadelphia Union,Cincinnati vs Philadelphia Union,2023-04-08,6.777e-05
A. Blake,Philadelphia Union,Cincinnati vs Philadelphia Union,2023-11-25,0.00127452
A. Blake,Philadelphia Union,Colorado Rapids vs Philadelphia Union,2023-05-13,0.0002045
A. Blake,Philadelphia Union,Columbus Crew vs Philadelphia Union,2023-09-30,6.422e-05
A. Blake,Philadelphia Union,DC United vs Philadelphia Union,2023-08-26,0.00019217
A. Blake,Philadelphia Union,Inter Miami vs Philadelphia Union,2023-03-04,0.0003607
A. Blake,Philadelphia Union,New England vs Philadelphia Union,2023-10-21,0.0010646800000000001
A. Blake,Philadelphia Union,New England vs Philadelphia Union,2023-11-08,0.00034192
A. Blake,Philadelphia Union,New York City vs Philadelphia Union,2023-05-27,0.00072285
A. Blake,Philadelphia Union,New York RB vs Philadelphia Union,2023-05-06,0.00191882
A. Blake,Philadelphia Union,Philadelphia Union vs Atlanta United,2023-10-04,0.00048232999999999994
A. Blake,Philadelphia Union,Philadelphia Union vs Charlotte,2023-05-31,0.00053834
A. Blake,Philadelphia Union,Philadelphia Union vs Chicago Fire,2023-03-11,0.00022187
A. Blake,Philadelphia Union,Philadelphia Union vs Cincinnati,2023-09-16,0.0008799599999999999
A. Blake,Philadelphia Union,Philadelphia Union vs Columbus Crew,2023-02-25,0.00067278
A. Blake,Philadelphia Union,Philadelphia Union vs DC United,2023-05-17,8.685999999999999e-05
