id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,endDate,status,active,placeOfBirth,secondNationality,secondNationalityId,knownName,foot
101yufpcixhsers2770ijyh3o,Dante,Johnson,Dante,Johnson,Male,D. Johnson,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2003-11-13,USA,7hr2f89v44y65dyu9k92vprwn,170.0,66.0,8.0,2022-05-23Z,2024-01-31Z,active,no,NaN,NaN,NaN,NaN,NaN
1x89wne2srx1dupb7vt5gf3ai,Tyler,Freeman,Tyler,Freeman,Male,T. Freeman,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2003-01-09,USA,7hr2f89v44y65dyu9k92vprwn,178.0,68.0,96.0,2023-07-28Z,2023-12-31Z,active,no,Overland Park,NaN,NaN,NaN,NaN
3d6tss3gkeqsznmpdxz39t5hw,Seth,Torman,Seth,Torman,Male,S. Torman,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1999-02-20,USA,7hr2f89v44y65dyu9k92vprwn,193.0,84.0,30.0,2023-02-08Z,2024-02-19Z,active,no,Pelham,NaN,NaN,NaN,NaN
3yd4f60qwxrbs2rch6uobxqsp,Phanuel Mabaya,Kavita,Phanuel,Kavita,Male,P. Kavita,Rwanda,12obgipj8u3vm1grf3jkrvqte,Defender,player,1993-03-09,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,188.0,86.0,3.0,2020-12-08Z,NaN,active,yes,Lubumbashi,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN
43tr063d8ut1mygz1xjfaedm2,Gabriel Alcides,Alves,Gabriel Alcides,Alves,Male,Gabriel Alves,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1999-02-10,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,185.0,77.0,16.0,2023-03-08Z,2024-01-01Z,active,no,São Paulo,NaN,NaN,Gabriel Alves,NaN
4695nvcz8lcrklltxvalcizmd,Juan Sebastián,Agudelo,Juan,Agudelo,Male,J. Agudelo,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1992-11-23,Colombia,6kby8rq1p01fg5ds38ckkrcs5,186.0,84.0,9.0,2022-04-06Z,2023-12-21Z,active,no,Manizales,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,both
4o1ryjpzoxzpi3ex53cmayui1,Alexander,Crognale,Alex,Crognale,Male,A. Crognale,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1994-08-27,USA,7hr2f89v44y65dyu9k92vprwn,196.0,88.0,21.0,2020-01-01Z,2024-12-31Z,active,no,Columbus,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,right
5i9n8xgeyz1hk8bt09mh2e1p0,Matthew James,Corcoran,Matthew,Corcoran,Male,M. Corcoran,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-02-17,USA,7hr2f89v44y65dyu9k92vprwn,178.0,72.0,17.0,2022-01-01Z,2025-02-11Z,active,no,Dallas,NaN,NaN,NaN,NaN
5lwarg9t4o7hxcq5exe8gwydw,Mataeo Chandler Razario,Bunbury,Mataeo,Bunbury,Male,M. Bunbury,Canada,1iaoypzp6syf32cz9l15pzp7e,Attacker,player,2005-06-13,USA,7hr2f89v44y65dyu9k92vprwn,180.0,77.0,47.0,2022-07-08Z,2023-04-07Z,active,no,Northfield,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
5uv1a9rj5wot3wcgefjoxhkdm,Jacob,Rufe,Jake,Rufe,Male,J. Rufe,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-01-22,USA,7hr2f89v44y65dyu9k92vprwn,180.0,77.0,13.0,2020-05-13Z,NaN,active,yes,Huntsville,NaN,NaN,NaN,NaN
634k0h5r6bjq0hxpmztw7bo5w,John,Heaps IV,Jack,Heaps,Male,J. Heaps IV,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2005-03-06,USA,7hr2f89v44y65dyu9k92vprwn,175.0,66.0,22.0,2022-05-23Z,2023-08-01Z,active,no,NaN,NaN,NaN,NaN,NaN
7q4366dkzgdafd4go7xbcvaw9,Anderson Kumi,Asiedu,Anderson,Asiedu,Male,A. Asiedu,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,1996-06-12,Ghana,2q2sw72utw5gu9t5y4knckwba,168.0,68.0,6.0,2019-07-18Z,2023-12-14Z,active,no,Dormaa Ahenkro,NaN,NaN,NaN,right
8sl4nqao4w38gwi1t3qrxu5lh,Trevor Matthew,Spangenberg,Trevor,Spangenberg,Male,T. Spangenberg,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1991-04-21,USA,7hr2f89v44y65dyu9k92vprwn,191.0,88.0,18.0,2019-02-21Z,NaN,active,yes,Mesa,NaN,NaN,NaN,right
9xjixcn3jhf7m75dl49u0qe7e,Collin Samuel,Smith,Collin,Smith,Male,C. Smith,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2003-12-04,USA,7hr2f89v44y65dyu9k92vprwn,178.0,75.0,4.0,2023-03-10Z,2023-11-30Z,active,no,Jacksonville,NaN,NaN,NaN,right
bfye239zrcmh9qcazc71ffzkl,Alex,Martínez Beltrán,Alex,Martínez,Male,A. Martínez,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1991-08-25,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,173.0,72.0,NaN,2023-03-28Z,NaN,active,yes,Montevideo,NaN,NaN,NaN,right
bi0hhtxpz0xvq0xfpj0otoc89,Prosper,Kasim,Prosper,Kasim,Male,P. Kasim,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,1996-12-15,Ghana,2q2sw72utw5gu9t5y4knckwba,175.0,76.0,10.0,2019-02-13Z,2024-12-31Z,active,no,Accra,NaN,NaN,NaN,left
bxlh35ww96wgrsgfc8blou50p,Moses,Nyarko-Fenyi Mensah,Moses,Mensah,Male,M. Mensah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,1998-08-15,Ghana,2q2sw72utw5gu9t5y4knckwba,188.0,75.0,33.0,2023-02-08Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
bzcplrxaw539yyqc630ds41uy,Ben,Reveno,Ben,Reveno,Male,B. Reveno,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-03-29,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,2.0,2023-03-04Z,2023-08-07Z,active,no,San Jose,NaN,NaN,NaN,NaN
cn8fovjei9tdslashum11dp05,Neco Jeborie,Brett,Neco,Brett,Male,N. Brett,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Attacker,player,1992-03-22,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,175.0,79.0,11.0,2023-01-19Z,2024-01-23Z,active,no,Kingston,NaN,NaN,NaN,NaN
d6iso976ais8tquoaiqddbfv8,Grayson,Dupont,Grayson,Dupont,Male,G. Dupont,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-01-16,USA,7hr2f89v44y65dyu9k92vprwn,170.0,71.0,23.0,2023-06-21Z,2024-01-05Z,active,no,Birmingham,NaN,NaN,NaN,NaN
dglf4uhg5wnc68cg8ijovfmy1,Tabort Etaka,Obiarrah Preston,Tabort Etaka,Preston,Male,T. Preston,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,1998-06-10,Cameroon,4eb9feio6u267dd1jcwaf38mt,173.0,68.0,28.0,2023-08-22Z,NaN,active,yes,Bamenda,NaN,NaN,NaN,right
dhi7890xe8zsmzhw2cad7sul1,Tyler Geoffrey,Pasher,Tyler,Pasher,Male,T. Pasher,Canada,1iaoypzp6syf32cz9l15pzp7e,Attacker,player,1994-04-27,Canada,1iaoypzp6syf32cz9l15pzp7e,173.0,66.0,15.0,2023-03-08Z,NaN,active,yes,Elmira,NaN,NaN,NaN,left
dlcxvrsqhiz8ce0nqnh6h6dw5,James Matthew,Van Oekel,Matt,Van Oekel,Male,M. Van Oekel,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1986-09-20,USA,7hr2f89v44y65dyu9k92vprwn,191.0,91.0,1.0,2018-12-12Z,NaN,active,yes,Chesapeake,NaN,NaN,NaN,NaN
e6uww9a9ssp0n20ksoolesa8l,Enzo Agustín,Martínez Beltrán,Enzo,Martínez,Male,E. Martínez,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Midfielder,player,1990-09-29,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,170.0,68.0,19.0,2022-03-04Z,NaN,active,yes,Montevideo,USA,7hr2f89v44y65dyu9k92vprwn,NaN,right
eg4q2iq1z7fidh9wl49w3f7dg,Patrick,Nwegbo,Diba,Nwegbo,Male,D. Nwegbo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2002-01-01,USA,7hr2f89v44y65dyu9k92vprwn,185.0,86.0,7.0,2023-03-10Z,2024-12-31Z,active,no,Acworth,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
f1kd9zklc9noursfsqv7qrk5x,Miguel Angel,Lopez Jr.,Mikey,Lopez,Male,M. Lopez,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1993-02-20,USA,7hr2f89v44y65dyu9k92vprwn,173.0,66.0,5.0,2018-12-31Z,2024-12-31Z,active,no,Dallas,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN
nkke5nm09v2m60pcr3d7ed3p,Tom,Soehn,Tom,Soehn,Male,T. Soehn,USA,7hr2f89v44y65dyu9k92vprwn,NaN,coach,1966-04-15,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2019-01-01Z,2025-04-09Z,active,no,Chicago,NaN,NaN,NaN,NaN
14oq6mvlh5e51d9y20nbpok4p,Christopher Mark,Allan,Chris,Allan,Male,C. Allan,England,1fk5l4hkqk12i7zske6mcqju6,Midfielder,player,1998-09-27,England,1fk5l4hkqk12i7zske6mcqju6,180.0,77.0,4.0,2023-03-09Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
1bz1l5u4f1o2uwi9n8bpk6b6c,Daniel,Fischer,Danny,Fischer,Male,D. Fischer,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2004-11-16,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2023-02-07Z,2024-01-31Z,active,no,NaN,NaN,NaN,NaN,NaN
1h85rt7bnqep3qovatft86pgq,Arturo,Rodríguez,Arturo,Rodríguez,Male,A. Rodríguez,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-12-15,Mexico,5trdr3jf42i20zj1hnkvcytr6,175.0,68.0,12.0,2023-03-24Z,NaN,active,yes,San Luis Potosí,Mexico,5trdr3jf42i20zj1hnkvcytr6,Arturo Rodríguez,NaN
1nltrcfmwyslw30mouylpm5ii,Avionne,Flanagan,Avionne,Flanagan,Male,A. Flanagan,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1999-04-06,USA,7hr2f89v44y65dyu9k92vprwn,180.0,75.0,27.0,2022-08-12Z,2023-03-14Z,active,no,NaN,NaN,NaN,NaN,NaN
1ua1e9ceddhcmq80ywq2ihd6,Tristan,Trager,Tristan,Trager,Male,T. Trager,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-08-28,USA,7hr2f89v44y65dyu9k92vprwn,180.0,82.0,21.0,2023-03-09Z,2024-01-31Z,active,no,San Clemente,Vietnam,747si8rr6manolqh31d1vz17q,NaN,NaN
34f03siv3fwkjgxy0d036ncru,Dante,Polvara,Dante,Polvara,Male,D. Polvara,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2000-06-21,USA,7hr2f89v44y65dyu9k92vprwn,193.0,86.0,6.0,2023-03-08Z,2023-07-02Z,active,no,Pleasantville,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,right
42w1fj2n8ubc7of8feg5z5p90,Fidel Junior,Barajas Juárez,Fidel,Barajas,Male,F. Barajas,Mexico,5trdr3jf42i20zj1hnkvcytr6,Attacker,player,2006-04-05,USA,7hr2f89v44y65dyu9k92vprwn,178.0,70.0,11.0,2022-09-16Z,2024-01-31Z,active,no,Sacramento,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
4cznly19h90av7rjps6e81yqc,Benjamin Joel,Ettienne,Benjamin,Ettienne,Male,B. Ettienne,Grenada,187lxllgvpivhdcyw002tue8m,Defender,player,2003-03-13,Grenada,187lxllgvpivhdcyw002tue8m,183.0,73.0,NaN,2022-02-04Z,2023-11-02Z,active,no,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN
5g3yur7k1fvc47hjz5y2zrze,Derek,Dodson,Derek,Dodson,Male,D. Dodson,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1998-11-03,USA,7hr2f89v44y65dyu9k92vprwn,185.0,77.0,14.0,2023-03-09Z,2024-01-15Z,active,no,Aurora,NaN,NaN,NaN,NaN
61n2zwieaq9s1hr8gkmv9q8h6,Juan Sebastián,Palma Micolta,Sebastián,Palma,Male,S. Palma,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,1999-07-18,Colombia,6kby8rq1p01fg5ds38ckkrcs5,188.0,84.0,23.0,2023-01-01Z,2025-01-31Z,active,no,Puerto Carreño,NaN,NaN,NaN,right
6x8glr5hquqxmacroeqmq5mcq,Daniel,Kuzemka,Daniel,Kuzemka,Male,D. Kuzemka,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1998-09-23,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,24.0,2022-05-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
77zipb94oe8xrk7wvl8qrmwh5,Pierre,Reedy,Pierre,Reedy,Male,P. Reedy,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1998-01-11,USA,7hr2f89v44y65dyu9k92vprwn,183.0,77.0,2.0,2023-07-14Z,2024-01-31Z,active,no,Kutztown,NaN,NaN,NaN,NaN
7vs5viy6d0dxa7t6vogkxo650,Nicholas,Markanich,Nick,Markanich,Male,N. Markanich,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-12-26,USA,7hr2f89v44y65dyu9k92vprwn,185.0,72.0,13.0,2023-03-09Z,2025-01-01Z,active,no,NaN,Philippines,2bn52u7dpgfatwqumx224cczx,NaN,right
807o9aah2y5z9bk70c4s0c89h,Alec John,Cochran,Alec,Cochran,Male,A. Cochran,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1993-02-09,USA,7hr2f89v44y65dyu9k92vprwn,191.0,88.0,3.0,2023-02-02Z,2024-01-31Z,active,no,St. Louis,NaN,NaN,NaN,left
8j8a9aofwcl6fqbvzncsmbxuc,Charlie,Dennis,Charlie,Dennis,Male,C. Dennis,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2004-09-13,USA,7hr2f89v44y65dyu9k92vprwn,180.0,63.0,18.0,2023-03-21Z,2025-01-31Z,active,no,Charleston,NaN,NaN,NaN,NaN
8t08t0apxw269hv16vhxaycbt,Handwalla,Bwana,Handwalla,Bwana,Male,H. Bwana,Somalia,5f1civs919ytka0t5h6fperc2,Midfielder,player,1999-06-25,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,175.0,66.0,10.0,2023-03-09Z,2024-01-31Z,active,no,Mombasa,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN,NaN
9i7vyapra7fjdtv6xd9sms2ne,Arthur,Precious Paterson Jr.,AJ,Paterson,Male,A. Paterson,Grenada,187lxllgvpivhdcyw002tue8m,Defender,player,1996-01-31,USA,7hr2f89v44y65dyu9k92vprwn,188.0,86.0,20.0,2019-03-06Z,2023-12-12Z,active,no,Key Largo,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
9jfh2t3w4aqc4o4rvjfk7xey1,Augustine,Williams,Augustine,Williams,Male,A. Williams,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Attacker,player,1997-08-03,Sierra Leone,7kilikg56sxc0dsd6168dr57b,188.0,82.0,9.0,2022-03-04Z,2024-01-31Z,active,no,Freetown,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
abwz38jw9ye3d0vnr5yp6lxck,Devin,Rensing,Devin,Rensing,Male,D. Rensing,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1978-08-25,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2023-04-07Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN
aja8uwk6vyjzzd5nvkh7pbtux,John David,Muse III,Trey,Muse,Male,T. Muse,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1999-07-26,USA,7hr2f89v44y65dyu9k92vprwn,193.0,84.0,25.0,2023-03-09Z,2024-01-05Z,active,no,Louisville,NaN,NaN,NaN,NaN
ani26vxlo22iw1u9oexptml05,Leland Douglas,Archer,Leland,Archer,Male,L. Archer,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,Defender,player,1996-01-08,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,191.0,88.0,5.0,2018-06-02Z,NaN,active,yes,Port of Spain,NaN,NaN,NaN,right
btx68vqtuzyckpw6sffr7iort,Benjamin,Pirmann,Ben,Pirmann,Male,B. Pirmann,USA,7hr2f89v44y65dyu9k92vprwn,NaN,coach,1985-09-19,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2022-11-17Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
btzfde6rl1aq3ypv4oxuys8wk,Matthias,Dennis,Mattie,Dennis,Male,M. Dennis,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2006-10-15,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2023-03-27Z,2024-01-31Z,active,no,NaN,NaN,NaN,Mattie Dennis,NaN
c3hzkxxmd1p7v7fn6ctxbngiy,Jesse Carmichael,Randall,Jesse,Randall,Male,J. Randall,New Zealand,wcq2y28a27syx5do1k2i2nj8,Attacker,player,2002-08-19,New Zealand,wcq2y28a27syx5do1k2i2nj8,176.0,NaN,22.0,2023-03-23Z,2024-01-31Z,active,no,Wellington,NaN,NaN,NaN,right
ckefp96qi7xs4yt9n329paajt,Andrew,Booth,Andrew,Booth,Male,A. Booth,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1997-07-16,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,183.0,82.0,7.0,2022-03-04Z,2024-02-10Z,active,no,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
cqmvrx028gh19yh8qh7w01y0a,Roberto,Avila,Roberto,Avila,Male,R. Avila,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2000-10-16,USA,7hr2f89v44y65dyu9k92vprwn,173.0,70.0,69.0,2023-05-26Z,2023-11-30Z,active,no,Austin,NaN,NaN,NaN,NaN
d8uer29a3oya05ks99q696221,Mark,Segbers,Mark,Segbers,Male,M. Segbers,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-04-18,USA,7hr2f89v44y65dyu9k92vprwn,176.0,75.0,NaN,2023-09-22Z,NaN,active,yes,St. Louis,NaN,NaN,NaN,right
dxfxrbvl0452fu9o033carm22,Aidan,Apodaca,Aidan,Apodaca,Male,A. Apodaca,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1996-05-24,USA,7hr2f89v44y65dyu9k92vprwn,178.0,75.0,17.0,2022-03-04Z,2024-01-31Z,active,no,Rancho Cucamonga,NaN,NaN,NaN,NaN
ecjt2cd0xn1qyeyboapqwxbvu,Emilio Andres,Ycaza,Emilio,Ycaza,Male,E. Ycaza,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1997-07-10,USA,7hr2f89v44y65dyu9k92vprwn,173.0,66.0,8.0,2023-03-09Z,NaN,active,yes,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN
f1rmlj60f599rtygtk3s8av9x,Deklan Terrence,Wynne,Deklan,Wynne,Male,D. Wynne,New Zealand,wcq2y28a27syx5do1k2i2nj8,Defender,player,1995-03-20,South Africa,1kiwby3xmt97m3ejw76qs4i6k,178.0,72.0,28.0,2023-01-03Z,2024-01-31Z,active,no,Johannesburg,England,1fk5l4hkqk12i7zske6mcqju6,NaN,left
iukk6lc5rvyisxfp57hwi2qy,Joseph,Schmidt,Joe,Schmidt,Male,J. Schmidt,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-11-02,USA,7hr2f89v44y65dyu9k92vprwn,175.0,77.0,15.0,2022-02-24Z,2024-01-31Z,active,no,NaN,NaN,NaN,NaN,NaN
ngbrldd6l0tg4wpy3lki9eqd,Robert David,Crawford,Robbie,Crawford,Male,R. Crawford,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Midfielder,player,1993-03-19,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,173.0,63.0,19.0,2022-07-22Z,2025-01-31Z,active,no,Greenock,NaN,NaN,NaN,both
1s48glvpagsxfh15j8ilh0fai,Tyreek Anthony,Magee,Tyreek,Magee,Male,T. Magee,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1999-08-27,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,180.0,69.0,7.0,2023-05-12Z,2024-12-31Z,active,no,Kingston,NaN,NaN,NaN,both
2yflerah2shma2hzhm99msez9,Devon Chesterton,Williams,Speedy,Williams,Male,S. Williams,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1992-04-08,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,173.0,70.0,80.0,2022-12-22Z,2025-01-31Z,active,no,Kingston,NaN,NaN,NaN,right
