playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Diop,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
A. Diz,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0050282,0.0046885
A. Moreno,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0011019,0.0
A. Quinn,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0080984,0.0039692
A. Stanley,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0253661,-0.2471512
A. Villanueva,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
B. Akinyode,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
B. Craig,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
B. Makangila,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.013270899999999999,-0.0194665
B. Mines,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0,0.0
B. Morris,Detroit City,El Paso Locomotive vs Detroit City,0.0006084,0.0006084
B. Njie,Oakland Roots,North Carolina vs Oakland Roots,0.0005397,0.0005397
B. Ofeimu,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0025746,0.0013004
B. Soumaoro,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0010478,-0.025098
B. Washington,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
C. Lindley,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0253661,0.0241695
C. Martin,North Carolina,North Carolina vs Oakland Roots,0.0079567,0.0079567
C. Rutz,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
C. Saldaña,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
D. Amoo-Mensah,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
D. Barrera,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0014664,0.0002743
D. Dwyer,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
D. Espeleta,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
D. Gomez,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
D. Navarro,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
D. Toure,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0,0.0
E. Armstrong,North Carolina,North Carolina vs Oakland Roots,0.0004675,-0.2468092
E. Calvillo,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
E. Collier,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0463057,0.0447416
E. Conway,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
E. Rivas,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
F. Nevárez,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
F. Sundstrom,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
G. Margvelashvili,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
H. Sulte,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0003397,0.0003397
H. White,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0,0.0
I. Alekseev,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
I. Donasiyano,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
J. Blake,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0439818,0.0358834
J. Farrell,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0,0.0
J. Hayes,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
J. Malou,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
J. McGuire,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
J. Murphy,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
J. Rasmussen,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
J. Rivas,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
J. Rodriguez,Oakland Roots,North Carolina vs Oakland Roots,0.0007778,0.0002381
J. Scarlett,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0011921,0.0
J. Sinisterra,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
K. Edwards,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0042373,0.0042373
L. Kissiedou,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
L. Perez,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
L. Stauffer,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
M. Bryant,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
M. Chéry,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
M. DeShields,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.002771,-0.0431835
M. Dieng,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0247362,0.0247362
M. Epps,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0459545,0.0459545
M. Foster,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0,0.0
M. Hairston,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.000507,0.000507
M. Lyons,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
M. Maldonado,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
M. Ngalina,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0,0.0
M. Rodriguez,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
M. Sheldon,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
N. Hackshaw,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
N. Logue,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
N. Matsoso,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
NaN,Detroit City,El Paso Locomotive vs Detroit City,0.0,0.0
NaN,El Paso Locomotive,El Paso Locomotive vs Detroit City,0.0,0.0
NaN,Hartford Athletic,Hartford Athletic vs Indy Eleven,0.0,0.0
NaN,Indy Eleven,Hartford Athletic vs Indy Eleven,0.0,0.0
NaN,North Carolina,North Carolina vs Oakland Roots,0.0,0.0
NaN,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
P. Blanchette,Oakland Roots,North Carolina vs Oakland Roots,0.0,0.0
P. Craig,North Carolina,North Carolina vs Oakland Roots,0.0042373,0.0042373
