playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Aboukoura,Loudoun United,Birmingham Legion vs Loudoun United,2025-03-08,0.8767444,0.6071084999999999
A. Aboukoura,Loudoun United,Charleston Battery vs Loudoun United,2025-08-24,0.2031447,0.0184157
A. Aboukoura,Loudoun United,Detroit City vs Loudoun United,2025-10-11,0.1885303,0.04801130000000001
A. Aboukoura,Loudoun United,FC Tulsa vs Loudoun United,2025-08-01,0.2051566,-0.0018499000000000028
A. Aboukoura,Loudoun United,Hartford Athletic vs Loudoun United,2025-06-20,0.7681896,0.1855714
A. Aboukoura,Loudoun United,Las Vegas Lights vs Loudoun United,2025-05-03,0.9621647,0.2761383
A. Aboukoura,Loudoun United,Loudoun United vs Birmingham Legion,2025-10-04,0.3661253,-0.021014199999999997
A. Aboukoura,Loudoun United,Loudoun United vs Charleston Battery,2025-06-07,0.5146869,0.2140529
A. Aboukoura,Loudoun United,Loudoun United vs Detroit City,2025-06-14,0.4259468,-0.08478130000000002
A. Aboukoura,Loudoun United,Loudoun United vs Hartford Athletic,2025-04-05,1.1024247999999999,0.6332880000000001
A. Aboukoura,Loudoun United,Loudoun United vs Indy Eleven,2025-08-16,0.4965443,-0.0657973
A. Aboukoura,Loudoun United,Loudoun United vs Lexington,2025-05-10,0.6293428999999999,0.06812929999999999
A. Aboukoura,Loudoun United,Loudoun United vs Louisville City,2025-06-25,0.829648,0.13516679999999998
A. Aboukoura,Loudoun United,Loudoun United vs Orange County SC,2025-07-03,0.2290883,-0.1680081
A. Aboukoura,Loudoun United,Loudoun United vs Pittsburgh Riverhounds,2025-04-19,0.2418051,0.0465275
A. Aboukoura,Loudoun United,Loudoun United vs Rhode Island,2025-03-29,0.3207915,-0.0251886
A. Aboukoura,Loudoun United,Loudoun United vs Tampa Bay Rowdies,2025-09-28,0.7809721,0.3709762
A. Aboukoura,Loudoun United,Louisville City vs Loudoun United,2025-03-22,0.448792,-0.1027545
A. Aboukoura,Loudoun United,Miami vs Loudoun United,2025-05-17,0.45413879999999995,0.0834718
A. Aboukoura,Loudoun United,North Carolina vs Loudoun United,2025-03-15,0.3855481,0.0039126000000000005
A. Aboukoura,Loudoun United,Phoenix Rising vs Loudoun United,2025-09-20,0.262279,0.036100499999999994
A. Aboukoura,Loudoun United,Rhode Island vs Loudoun United,2025-08-09,0.49856290000000003,0.11012179999999999
A. Aboukoura,Loudoun United,Tampa Bay Rowdies vs Loudoun United,2025-04-12,0.2513044,0.0034355000000000063
A. Acloque,Miami,Miami vs New Mexico United,2025-03-29,0.1040282,0.0187523
A. Al-Qaq,North Carolina,Birmingham Legion vs North Carolina,2025-10-01,0.0948231,0.004126900000000001
A. Al-Qaq,North Carolina,Charleston Battery vs North Carolina,2025-07-06,0.0474204,-0.008044
A. Al-Qaq,North Carolina,Detroit City vs North Carolina,2025-10-04,0.11979150000000001,0.006524400000000001
A. Al-Qaq,North Carolina,FC Tulsa vs North Carolina,2025-03-22,0.1179524,-0.026458
A. Al-Qaq,North Carolina,Indy Eleven vs North Carolina,2025-04-05,0.134432,0.036959599999999995
A. Al-Qaq,North Carolina,Las Vegas Lights vs North Carolina,2025-08-23,0.0427891,0.0285321
A. Al-Qaq,North Carolina,Lexington vs North Carolina,2025-09-05,0.1940914,0.012190500000000003
A. Al-Qaq,North Carolina,Louisville City vs North Carolina,2025-08-02,0.0275635,-0.0443768
A. Al-Qaq,North Carolina,Miami vs North Carolina,2025-04-19,0.0960588,0.0019019999999999933
A. Al-Qaq,North Carolina,New Mexico United vs North Carolina,2025-04-12,0.1275701,0.0658051
A. Al-Qaq,North Carolina,North Carolina vs Birmingham Legion,2025-07-11,0.4178093,-0.04275190000000001
A. Al-Qaq,North Carolina,North Carolina vs Charleston Battery,2025-03-29,0.1974641,-0.0468817
A. Al-Qaq,North Carolina,North Carolina vs Detroit City,2025-08-15,0.0567858,0.0390315
A. Al-Qaq,North Carolina,North Carolina vs El Paso Locomotive,2025-09-12,0.5794862,0.3386782
A. Al-Qaq,North Carolina,North Carolina vs Indy Eleven,2025-07-18,0.042507699999999995,-0.0320786
A. Al-Qaq,North Carolina,North Carolina vs Loudoun United,2025-03-15,0.0196221,-0.008527
A. Al-Qaq,North Carolina,North Carolina vs Miami,2025-09-26,0.38225380000000003,0.1509735
A. Al-Qaq,North Carolina,North Carolina vs Phoenix Rising,2025-10-10,0.2076735,0.07712569999999999
A. Al-Qaq,North Carolina,North Carolina vs Pittsburgh Riverhounds,2025-03-08,0.0026591,-0.0069551000000000005
A. Al-Qaq,North Carolina,North Carolina vs Tampa Bay Rowdies,2025-08-09,0.0138086,0.0070655
A. Al-Qaq,North Carolina,Pittsburgh Riverhounds vs North Carolina,2025-05-03,0.009461,-0.0083183
A. Araneda,Phoenix Rising,Phoenix Rising vs Monterey Bay,2025-05-17,0.0013064,-0.0026925
A. Beaudry,Colorado Springs,Birmingham Legion vs Colorado Springs,2025-07-19,0.0180638,-0.0042250000000000005
A. Beaudry,Colorado Springs,Colorado Springs vs FC Tulsa,2025-08-30,0.07205929999999999,0.005759200000000001
A. Beaudry,Colorado Springs,Colorado Springs vs Lexington,2025-08-01,0.0533963,0.006598099999999999
A. Beaudry,Colorado Springs,Colorado Springs vs Orange County SC,2025-08-16,0.0190499,0.0019064000000000002
A. Beaudry,Colorado Springs,Oakland Roots vs Colorado Springs,2025-08-09,0.0617279,0.0082399
A. Beaudry,Colorado Springs,Phoenix Rising vs Colorado Springs,2025-08-23,0.0128586,0.0015773999999999999
A. Booth,FC Tulsa,Louisville City vs FC Tulsa,2025-07-19,0.0,0.0
A. Booth,FC Tulsa,San Antonio vs FC Tulsa,2025-05-28,0.0019781,-0.0004971
A. Capetillo Hernandez,Phoenix Rising,Phoenix Rising vs Las Vegas Lights,2025-09-05,0.0,0.0
A. Chattha,Las Vegas Lights,Las Vegas Lights vs Tampa Bay Rowdies,2025-03-08,0.1059172,-0.032302800000000007
A. Cissoko,FC Tulsa,Colorado Springs vs FC Tulsa,2025-08-30,0.1019642,0.054036100000000004
A. Cissoko,FC Tulsa,FC Tulsa vs El Paso Locomotive,2025-05-10,0.013625400000000001,0.003638
A. Cissoko,FC Tulsa,FC Tulsa vs Las Vegas Lights,2025-07-12,0.2203714,0.18294539999999998
A. Cissoko,FC Tulsa,FC Tulsa vs Lexington,2025-10-04,0.189242,0.01990819999999999
A. Cissoko,FC Tulsa,FC Tulsa vs Loudoun United,2025-08-01,0.2461093,0.0643567
A. Cissoko,FC Tulsa,FC Tulsa vs Monterey Bay,2025-07-16,0.2721052,0.18181229999999998
A. Cissoko,FC Tulsa,FC Tulsa vs New Mexico United,2025-08-09,0.070049,0.0408942
A. Cissoko,FC Tulsa,FC Tulsa vs North Carolina,2025-03-22,0.232227,-0.0001284000000000042
A. Cissoko,FC Tulsa,FC Tulsa vs Oakland Roots,2025-04-12,0.31851270000000004,0.2131256
A. Cissoko,FC Tulsa,FC Tulsa vs Orange County SC,2025-08-23,0.0871277,-0.0380791
A. Cissoko,FC Tulsa,FC Tulsa vs Phoenix Rising,2025-06-14,0.138143,0.0356295
A. Cissoko,FC Tulsa,FC Tulsa vs Sacramento Republic,2025-03-28,0.0475354,0.0052699
A. Cissoko,FC Tulsa,FC Tulsa vs Tampa Bay Rowdies,2025-03-15,0.0288999,0.0082633
A. Cissoko,FC Tulsa,Hartford Athletic vs FC Tulsa,2025-08-16,0.0787765,0.0452475
A. Cissoko,FC Tulsa,Las Vegas Lights vs FC Tulsa,2025-04-19,0.0345108,0.0206721
A. Cissoko,FC Tulsa,Lexington vs FC Tulsa,2025-05-18,0.0705842,0.0003429999999999988
A. Cissoko,FC Tulsa,Louisville City vs FC Tulsa,2025-07-19,0.0448142,0.010692199999999999
A. Cissoko,FC Tulsa,Miami vs FC Tulsa,2025-07-05,0.1021804,0.0306004
A. Cissoko,FC Tulsa,Monterey Bay vs FC Tulsa,2025-08-06,0.07654659999999999,0.0227604
A. Cissoko,FC Tulsa,New Mexico United vs FC Tulsa,2025-09-13,0.24756540000000002,0.03846150000000001
A. Cissoko,FC Tulsa,Oakland Roots vs FC Tulsa,2025-09-20,0.2303248,0.1079102
A. Cissoko,FC Tulsa,Phoenix Rising vs FC Tulsa,2025-03-08,0.0192355,0.0133061
A. Cissoko,FC Tulsa,Sacramento Republic vs FC Tulsa,2025-06-07,0.091403,0.0483747
A. Cissoko,FC Tulsa,San Antonio vs FC Tulsa,2025-05-28,0.0611971,0.014369900000000001
A. Crognale,San Antonio,Charleston Battery vs San Antonio,2025-05-17,0.10473879999999999,0.0479212
A. Crognale,San Antonio,El Paso Locomotive vs San Antonio,2025-07-04,0.0975663,0.0498956
A. Crognale,San Antonio,Las Vegas Lights vs San Antonio,2025-08-09,0.1765996,0.10143740000000001
A. Crognale,San Antonio,Lexington vs San Antonio,2025-03-29,0.22629110000000002,-0.005476999999999999
A. Crognale,San Antonio,New Mexico United vs San Antonio,2025-06-21,0.1074763,-0.012506000000000003
A. Crognale,San Antonio,Oakland Roots vs San Antonio,2025-03-22,0.0785696,0.0255692
A. Crognale,San Antonio,Rhode Island vs San Antonio,2025-05-03,0.1236743,0.014841299999999997
A. Crognale,San Antonio,Sacramento Republic vs San Antonio,2025-06-14,0.10814510000000001,0.0340114
A. Crognale,San Antonio,San Antonio vs Colorado Springs,2025-04-23,0.3219881,0.23334639999999998
A. Crognale,San Antonio,San Antonio vs FC Tulsa,2025-05-28,0.153615,0.0764002
A. Crognale,San Antonio,San Antonio vs Las Vegas Lights,2025-06-07,0.1068058,0.0477143
A. Crognale,San Antonio,San Antonio vs Miami,2025-04-12,0.33468220000000004,0.16422640000000002
A. Crognale,San Antonio,San Antonio vs Monterey Bay,2025-03-08,0.1426315,0.0343378
A. Crognale,San Antonio,San Antonio vs Oakland Roots,2025-05-10,0.1851747,-0.1193843
A. Crognale,San Antonio,San Antonio vs Phoenix Rising,2025-04-06,0.31278680000000003,0.0690819
A. Crognale,San Antonio,San Antonio vs Pittsburgh Riverhounds,2025-03-15,0.3775146,0.26718810000000004
A. Crognale,San Antonio,San Antonio vs Sacramento Republic,2025-08-02,0.1379534,0.0491696
A. Crognale,San Antonio,San Antonio vs Tampa Bay Rowdies,2025-07-12,0.2083474,0.0819884
A. Daley,Birmingham Legion,Birmingham Legion vs North Carolina,2025-10-01,0.2299831,-0.1527812
A. Daley,Birmingham Legion,Birmingham Legion vs Pittsburgh Riverhounds,2025-08-23,0.2019849,0.1001596
A. Daley,Birmingham Legion,Birmingham Legion vs Tampa Bay Rowdies,2025-09-17,0.3916019,0.0497908
A. Daley,Birmingham Legion,FC Tulsa vs Birmingham Legion,2025-09-06,0.2674681,-0.027534299999999998
A. Daley,Birmingham Legion,Indy Eleven vs Birmingham Legion,2025-09-21,0.1485668,0.008383300000000003
A. Daley,Birmingham Legion,Loudoun United vs Birmingham Legion,2025-10-04,0.3551655,0.20697780000000002
A. Daley,Birmingham Legion,Orange County SC vs Birmingham Legion,2025-08-30,0.6046085,0.2911415
A. Daley,Birmingham Legion,San Antonio vs Birmingham Legion,2025-09-27,0.2146854,0.04683659999999999
A. Dalou,FC Tulsa,Colorado Springs vs FC Tulsa,2025-08-30,0.1651199,-0.005623900000000015
A. Dalou,FC Tulsa,FC Tulsa vs Birmingham Legion,2025-09-06,0.058454299999999994,0.025521500000000003
A. Dalou,FC Tulsa,FC Tulsa vs El Paso Locomotive,2025-05-10,0.4478074,0.021262699999999995
A. Dalou,FC Tulsa,FC Tulsa vs Lexington,2025-10-04,0.6444609,0.3485667
A. Dalou,FC Tulsa,FC Tulsa vs Loudoun United,2025-08-01,0.5439022,0.2747739
A. Dalou,FC Tulsa,FC Tulsa vs Monterey Bay,2025-07-16,0.062052500000000003,0.0102462
A. Dalou,FC Tulsa,FC Tulsa vs New Mexico United,2025-08-09,0.0267812,0.0034539999999999987
A. Dalou,FC Tulsa,FC Tulsa vs Oakland Roots,2025-04-12,0.309067,0.09485719999999999
A. Dalou,FC Tulsa,FC Tulsa vs Orange County SC,2025-08-23,0.0331094,-0.015665700000000005
A. Dalou,FC Tulsa,FC Tulsa vs Phoenix Rising,2025-06-14,0.7055657,0.25225600000000004
A. Dalou,FC Tulsa,FC Tulsa vs Tampa Bay Rowdies,2025-03-15,0.5184614,0.2088209
A. Dalou,FC Tulsa,Hartford Athletic vs FC Tulsa,2025-08-16,0.3290447,0.0074563000000000025
A. Dalou,FC Tulsa,Indy Eleven vs FC Tulsa,2025-09-27,0.0227396,-0.028820400000000003
