playerName,team_name,label,date,318.0
A. Aboukoura,Loudoun United,Birmingham Legion vs Loudoun United,2025-03-08,0.5287090400000001
A. Aboukoura,Loudoun United,Las Vegas Lights vs Loudoun United,2025-05-03,0.17477268
A. Aboukoura,Loudoun United,Loudoun United vs Hartford Athletic,2025-04-05,0.28986128
A. Aboukoura,Loudoun United,Loudoun United vs Lexington,2025-05-10,0.27963453
A. Aboukoura,Loudoun United,Loudoun United vs Rhode Island,2025-03-29,0.10725447
A. Aboukoura,Loudoun United,Louisville City vs Loudoun United,2025-03-22,0.04522476
A. Aboukoura,Loudoun United,Miami vs Loudoun United,2025-05-17,0.22766308000000002
A. Aboukoura,Loudoun United,North Carolina vs Loudoun United,2025-03-15,0.02409542
A. Aboukoura,Loudoun United,Tampa Bay Rowdies vs Loudoun United,2025-04-12,0.0262211
A. Acloque,Miami,Miami vs New Mexico United,2025-03-29,0.00414866
A. Al-Qaq,North Carolina,FC Tulsa vs North Carolina,2025-03-22,0.00203852
A. Al-Qaq,North Carolina,Indy Eleven vs North Carolina,2025-04-05,0.039492730000000004
A. Al-Qaq,North Carolina,Miami vs North Carolina,2025-04-19,0.00309759
A. Al-Qaq,North Carolina,New Mexico United vs North Carolina,2025-04-12,0.06838416
A. Al-Qaq,North Carolina,North Carolina vs Charleston Battery,2025-03-29,0.01044078
A. Al-Qaq,North Carolina,North Carolina vs Loudoun United,2025-03-15,0.0011169600000000002
A. Araneda,Phoenix Rising,Phoenix Rising vs Monterey Bay,2025-05-17,0.0
A. Booth,FC Tulsa,San Antonio vs FC Tulsa,2025-05-28,0.00107911
A. Chattha,Las Vegas Lights,Las Vegas Lights vs Tampa Bay Rowdies,2025-03-08,0.00687534
A. Cissoko,FC Tulsa,FC Tulsa vs El Paso Locomotive,2025-05-10,0.00029411
A. Cissoko,FC Tulsa,FC Tulsa vs North Carolina,2025-03-22,0.00196692
A. Cissoko,FC Tulsa,FC Tulsa vs Oakland Roots,2025-04-12,0.05452246
A. Cissoko,FC Tulsa,FC Tulsa vs Sacramento Republic,2025-03-28,0.00118699
A. Cissoko,FC Tulsa,FC Tulsa vs Tampa Bay Rowdies,2025-03-15,0.0005720300000000001
A. Cissoko,FC Tulsa,Las Vegas Lights vs FC Tulsa,2025-04-19,0.00109583
A. Cissoko,FC Tulsa,Lexington vs FC Tulsa,2025-05-18,0.42159019000000003
A. Cissoko,FC Tulsa,Phoenix Rising vs FC Tulsa,2025-03-08,5.742e-05
A. Cissoko,FC Tulsa,San Antonio vs FC Tulsa,2025-05-28,0.0019953699999999998
A. Crognale,San Antonio,Charleston Battery vs San Antonio,2025-05-17,0.01238652
A. Crognale,San Antonio,Lexington vs San Antonio,2025-03-29,0.00426802
A. Crognale,San Antonio,Oakland Roots vs San Antonio,2025-03-22,0.00627979
A. Crognale,San Antonio,Rhode Island vs San Antonio,2025-05-03,0.01058288
A. Crognale,San Antonio,San Antonio vs Colorado Springs,2025-04-23,0.07240146
A. Crognale,San Antonio,San Antonio vs FC Tulsa,2025-05-28,0.01291339
A. Crognale,San Antonio,San Antonio vs Miami,2025-04-12,0.03820378
A. Crognale,San Antonio,San Antonio vs Monterey Bay,2025-03-08,0.01080499
A. Crognale,San Antonio,San Antonio vs Oakland Roots,2025-05-10,0.11663078
A. Crognale,San Antonio,San Antonio vs Phoenix Rising,2025-04-06,0.13499791
A. Crognale,San Antonio,San Antonio vs Pittsburgh Riverhounds,2025-03-15,0.02026832
A. Dalou,FC Tulsa,FC Tulsa vs El Paso Locomotive,2025-05-10,0.15838358
A. Dalou,FC Tulsa,FC Tulsa vs Oakland Roots,2025-04-12,0.05437359
A. Dalou,FC Tulsa,FC Tulsa vs Tampa Bay Rowdies,2025-03-15,0.03499522
A. Dalou,FC Tulsa,Las Vegas Lights vs FC Tulsa,2025-04-19,0.01712647
A. Dalou,FC Tulsa,Lexington vs FC Tulsa,2025-05-18,0.08695552
A. Dalou,FC Tulsa,Orange County SC vs FC Tulsa,2025-05-03,0.06227159
A. Dalou,FC Tulsa,Phoenix Rising vs FC Tulsa,2025-03-08,0.01319525
A. Dalou,FC Tulsa,San Antonio vs FC Tulsa,2025-05-28,0.03871916
A. Dia,Louisville City,Birmingham Legion vs Louisville City,2025-03-16,0.014868899999999999
A. Dia,Louisville City,Charleston Battery vs Louisville City,2025-03-08,0.05211435
A. Dia,Louisville City,Hartford Athletic vs Louisville City,2025-05-17,0.0033047099999999998
A. Dia,Louisville City,Louisville City vs Detroit City,2025-03-29,0.07125971
A. Dia,Louisville City,Louisville City vs Lexington,2025-05-01,0.0036658000000000003
A. Dia,Louisville City,Louisville City vs Loudoun United,2025-03-22,0.05019121
A. Dia,Louisville City,Monterey Bay vs Louisville City,2025-05-24,0.32481509000000003
A. Dia,Louisville City,Sacramento Republic vs Louisville City,2025-04-05,0.0036395800000000003
A. Dia,Louisville City,Tampa Bay Rowdies vs Louisville City,2025-04-19,0.0014159300000000001
A. Dikwa,Rhode Island,Birmingham Legion vs Rhode Island,2025-05-14,0.12334239000000001
A. Dikwa,Rhode Island,Charleston Battery vs Rhode Island,2025-03-15,0.15439091
A. Dikwa,Rhode Island,Loudoun United vs Rhode Island,2025-03-29,0.08217027
A. Dikwa,Rhode Island,Oakland Roots vs Rhode Island,2025-04-05,0.05342398
A. Dikwa,Rhode Island,Phoenix Rising vs Rhode Island,2025-03-22,0.56877793
A. Dikwa,Rhode Island,Rhode Island vs Monterey Bay,2025-05-10,0.01532845
A. Dikwa,Rhode Island,Rhode Island vs Pittsburgh Riverhounds,2025-05-24,0.00851332
A. Dikwa,Rhode Island,Rhode Island vs San Antonio,2025-05-03,0.0032914
A. Dikwa,Rhode Island,Tampa Bay Rowdies vs Rhode Island,2025-05-17,0.0059292699999999995
A. Diouf,Detroit City,Birmingham Legion vs Detroit City,2025-05-18,0.04258013
A. Diouf,Detroit City,Detroit City vs Charleston Battery,2025-05-24,0.0033716199999999997
A. Diouf,Detroit City,Detroit City vs Monterey Bay,2025-04-05,0.0014925399999999999
A. Diouf,Detroit City,Detroit City vs Rhode Island,2025-04-19,0.02174637
A. Diouf,Detroit City,Indy Eleven vs Detroit City,2025-05-03,0.00583635
A. Diouf,Detroit City,Miami vs Detroit City,2025-03-08,0.01222656
A. Dixon,Monterey Bay,Monterey Bay vs Oakland Roots,2025-03-15,0.00359791
A. Dixon,Monterey Bay,Phoenix Rising vs Monterey Bay,2025-05-17,0.08375355000000001
A. Dixon,Monterey Bay,Rhode Island vs Monterey Bay,2025-05-10,0.29861549
A. Dixon,Monterey Bay,San Antonio vs Monterey Bay,2025-03-08,0.19653663000000002
A. Diz,Hartford Athletic,Lexington vs Hartford Athletic,2025-03-08,0.00468563
A. Diz,Hartford Athletic,Loudoun United vs Hartford Athletic,2025-04-05,0.00101384
A. Edwards,Sacramento Republic,FC Tulsa vs Sacramento Republic,2025-03-28,0.0
A. Edwards,Sacramento Republic,Phoenix Rising vs Sacramento Republic,2025-04-19,0.00401362
A. Edwards,Sacramento Republic,Sacramento Republic vs Louisville City,2025-04-05,0.0022540999999999998
A. Elmasnaouy,Oakland Roots,FC Tulsa vs Oakland Roots,2025-04-12,0.00028429
A. Elmasnaouy,Oakland Roots,Oakland Roots vs Las Vegas Lights,2025-03-29,0.00028644
A. Elmasnaouy,Oakland Roots,Oakland Roots vs Rhode Island,2025-04-05,0.00037855999999999995
A. Elmasnaouy,Oakland Roots,Orange County SC vs Oakland Roots,2025-03-08,0.1008583
A. Essengue,Phoenix Rising,Colorado Springs vs Phoenix Rising,2025-05-03,0.33389049
A. Essengue,Phoenix Rising,Las Vegas Lights vs Phoenix Rising,2025-05-28,0.00930678
A. Essengue,Phoenix Rising,New Mexico United vs Phoenix Rising,2025-05-10,0.0016329600000000001
A. Essengue,Phoenix Rising,Phoenix Rising vs Monterey Bay,2025-05-17,0.00488394
A. Fontana,Colorado Springs,Colorado Springs vs Detroit City,2025-03-15,0.0036215200000000005
A. Fontana,Colorado Springs,Colorado Springs vs El Paso Locomotive,2025-04-19,0.0284825
A. Fontana,Colorado Springs,Colorado Springs vs Phoenix Rising,2025-05-03,0.21373519
A. Fontana,Colorado Springs,El Paso Locomotive vs Colorado Springs,2025-03-08,0.00414846
A. Fontana,Colorado Springs,Indy Eleven vs Colorado Springs,2025-03-29,0.07407103
A. Fontana,Colorado Springs,Las Vegas Lights vs Colorado Springs,2025-05-10,0.00607253
A. Fontana,Colorado Springs,Monterey Bay vs Colorado Springs,2025-04-12,0.02095425
A. Fontana,Colorado Springs,Orange County SC vs Colorado Springs,2025-05-24,0.0024595199999999998
A. Fontana,Colorado Springs,San Antonio vs Colorado Springs,2025-04-23,0.011973520000000001
A. Gavilanes,Miami,Miami vs Birmingham Legion,2025-05-24,0.10111099999999999
A. Gavilanes,Miami,Miami vs Detroit City,2025-03-08,0.00526151
A. Gavilanes,Miami,Miami vs Indy Eleven,2025-03-15,0.01050534
A. Gavilanes,Miami,Miami vs New Mexico United,2025-03-29,1.11152063
